Document	Raw	to_grade	from_grade			
AR-130-190317	"""التواصل الاجتماعي هو سيف ذو حدين، حيث يتمتع بجوانب إيجابية وسلبية، والمطلوب من كل فرد هو التحكم الفعّال في استخدامه وضمان الاستفادة منه بطريقة صحية ومثمرة، بدلاً من إهدار الوقت الثمين. إن الوقت هو من أغلى ما يمتلك الإنسان، ولذا يجب أن يحرص على الاستفادة القصوى منه. يلجأ العديد من الأشخاص إلى استخدام وسائل التواصل الاجتماعي للتواصل على مسافات بعيدة، وبعضهم يعتمد عليها في العمل، خاصة إذا كانوا يتعاملون مع أشخاص في مواقع نائية. هناك أيضاً مبررات مقبولة للأشخاص الذين يستخدمون هذه الوسائل، مثل الأشخاص الكبار في السن الذين يحتاجون للتواصل مع أحبائهم في المنزل، أو الذين لديهم أطفال ويحتاجون للرعاية. ولكن، يجب على الأشخاص الذين يستخدمون التواصل الاجتماعي كوسيلة لإهدار الوقت وتجنب التواصل الفعلي مع أسرتهم، أن يعيدوا تقييم أولوياتهم وأن يكثفوا من التواصل المباشر مع أفراد الأسرة. واحدة من المميزات الرئيسية لوسائل التواصل الاجتماعي هي القدرة على التواصل الفوري على مسافات بعيدة، وكذلك القدرة على التواصل بين الشركات المختلفة. وبالرغم من وجود العديد من أنواع التواصل الاجتماعي، ومع ظهور العديد من البرامج الجديدة، يجب على الأشخاص أن يكونوا حذرين في استخدامها وأن يكونوا واعين للتأثيرات المحتملة لاستخدامها. وأخيراً، يلعب الأهل دوراً مهماً في الحفاظ على الأسرة والتأكد من استخدام الأطفال لوسائل التواصل الاجتماعي بطريقة آمنة ومنتجة."""	C2	B1			
AR-130-190447	'العالم يتغير كل يوم. الكثير من الأشياء تتغير. الناس يحبون الأشياء الجديدة. الأشياء الجديدة مثل الهواتف والحواسيب. الهواتف والحواسيب مهمة جداً. الناس يستخدمون الهواتف والحواسيب كل يوم. لكن الهواتف والحواسيب ليست جيدة دائماً. الهواتف والحواسيب يمكن أن تكون سيئة أيضاً. الناس يمكن أن يكونوا أصدقاء مع الأشخاص الذين لا يعرفونهم. هذا ليس جيداً. الأب والأم يجب أن يعرفوا ما يفعله الأطفال. الأطفال يجب أن يعرفوا كيف يستخدمون الهواتف والحواسيب بشكل جيد. الأطفال يجب أن يعرفوا كيف يكونوا أصدقاء جيدين. الأطفال يجب أن يكونوا أصدقاء جيدين في الحياة الحقيقية، ليس فقط على الهاتف أو الحاسوب.'	A1	C1			
AR-130-190447	'تمر السنوات ومعها تغيرات كبيرة في العالم. الكثير من الناس يعتقدون أننا نعيش في زمن مليء بالتغيرات. نشاهد الكثير من الأشياء الجديدة والمدهشة. الإنترنت هو واحد من أكثر هذه التغيرات أهمية. الإنترنت يمكن أن يكون مفيدا للمجتمع، لكنه يمكن أن يكون ضارا أيضا. الناس يقولون أن الإنترنت جعل العالم أصغر، لكنه أيضا جعل الناس أبعد. العائلات لم تعد تجتمع كثيرا. الأصدقاء الجدد غالبا ما يكونون أشخاصا لم نراهم أبدا. هذا يمكن أن يكون خطرا، لأن الناس يمكن أن يكونون غير صادقين على الإنترنت. الآباء يجب أن يراقبوا أطفالهم على الإنترنت. يجب أن يعلموا أطفالهم كيف يستخدمون الإنترنت بطريقة آمنة ومفيدة. هذا سيساعدهم على أن يكونوا أشخاصا جيدين ومفيدين للمجتمع.	A2	C1			
AR-130-190745	'التسامح شي جيد. نتعلم منه كيف نكون أكثر لطفا. نحن نحب التسامح في المدرسة والمسجد. نحن نحب قراءة القران. القران يساعدنا على تعلم أكثر. التسامح يقلل المشاكل. التسامح يجعل الناس أكثر قوة. التسامح هو شيء جميل في الحياة. الحياة مع التسامح مميزة. نحن نحب تعلم الأطفال التسامح والمحبة.'	A1	B1			
AR-130-190745	'التسامح هو شيء جيد. نتعلم منه كيف نكون أكثر لطفا. يجب أن نعلم الناس في المدارس والمساجد عن التسامح. قراءة القرآن يمكن أن تساعد أيضا. التسامح يمكن أن يقلل من المشاكل ويزيد من الحب في المجتمع. لذلك، التسامح مهم. يمكن أن يجعل الناس أكثر قوة وحبا. ويمكن أن يساعد في نشر الوعي. الشخص الذي يسامح هو شخص كريم. تعلم الكرم هو شيء جميل. يمكن أن يساعدك على عيش حياة جيدة. يجب أن تسامح وتعلم أطفالك كيف يسامحون ويحبون.'	A2	B1			
AR-130-190745	"""التسامح هو مفهوم أساسي وحيوي في الحياة البشرية، حيث من خلاله نتعلم كيفية التعاطف والتفهم مع الآخرين. يتطلب منا أن نعزز وننشر ثقافة التسامح في المجتمع، سواء كان ذلك في المساجد، المدارس، المحاضرات، أو حتى في الأماكن العامة. من الضروري الحرص على قراءة القرآن الكريم، فهو يساعد على بناء ثقافة أكثر تعطفا ومحبة، ويقلل من التوترات والمشاكل الاجتماعية.

التسامح يساهم في نشر الحب والود بين أفراد المجتمع، ولذلك فهو ضروري في حياة البشر. يمكن للتسامح أن ينمي ويثقف الإنسان، ويجعله أكثر قوة وقبولا من الآخرين. الشخص الذي يمارس التسامح هو الشخص الكريم، والتعلم والتطبيق العملي للكرم يكون أمرا جميلا ومميزا في الحياة.

في الحياة، يجب أن تسامح وتعلم أطفالك القيمة العظيمة للمسامحة والمحبة. هذا لا يساعد فقط في تنمية الأخلاق الحسنة، ولكنه يساعد أيضا في بناء مجتمع أكثر تعاطفا ومحبة. الحياة مليئة بالتحديات والصعوبات، ولكن من خلال التسامح، يمكننا تقدير الفرصة الجميلة للعيش في حياة مميزة ومعنوية."""	C1	B1			
AR-130-190745	'التسامح هو عنصر أساسي وحيوي في حياتنا، فمن خلاله نتعلم كيفية التعاطف بشكل أكبر مع الآخرين. يجب علينا أن نحث على تعزيز ثقافة التسامح في المجتمع، وذلك من خلال المساجد والمدارس والمحاضرات، وكذلك الحرص على قراءة القرآن الكريم، فإنه يساهم بشكل كبير في بناء ثقافة مشبعة بالمحبة والتعاطف. التسامح يقلل من النزاعات ويسهم في نشر الحب والود بين أفراد المجتمع، لذا فإنه يلعب دوراً حاسماً في تحسين جودة حياتنا البشرية. إن التسامح يساهم في تنمية الإنسان وتثقيفه، ويجعله أكثر قوة وقبولاً من الآخرين. بالإضافة إلى ذلك، يعمل التسامح على زيادة الوعي الشخصي والاجتماعي، فالشخص المسامح هو الشخص الكريم، والتعلم على الكرم هو أمر جميل ومرغوب فيه في حياتنا. من أجل أن تعيش حياة متميزة، يجب عليك أن تمارس التسامح وأن تعلم أطفالك القيمة العظيمة للمسامحة والمحبة.'	C2	B1			
AR-130-190808	'التواصل الاجتماعي يمكن أن يكون خطرا. يجب على الناس تجنبه. التواصل الاجتماعي يمكن أن يكون سببا للمشاكل. بعض الناس يقضون وقتا طويلا على التواصل الاجتماعي. هذا يمنعهم من تحقيق أهدافهم. البعض لا يعرف كيف يؤثر التواصل الاجتماعي على حياتهم. الناس يجب أن يعرفوا الخطر من التواصل الاجتماعي. ليس جيدا قضاء كل الوقت في التواصل الاجتماعي. يجب علينا أن نعيش حياتنا بشكل جيد ولا نضيع وقتنا في التواصل الاجتماعي.'	A1	B1			
AR-130-190808	'التواصل الاجتماعي يمكن يكون خطر على الناس. الناس اللي بيحبوا التكنولوجيا كتير لازم يحاولوا يتجنبوا التواصل الاجتماعي ومشاكله. استخدام التواصل الاجتماعي كتير ممكن يسبب مشاكل كبيرة. مثلا، الشخص يمكن يفكر يموت لأنه بيحس بالتعب والحزن. الناس اللي بتقضي وقت كتير على التواصل الاجتماعي ممكن ما يقدروا يحققوا احلامهم. بعض الناس ما بيعرفوا ان التواصل الاجتماعي ممكن يدمر مستقبلهم. الناس لازم يحكوا عن المشاكل اللي ممكن تجي من التواصل الاجتماعي. ما نقدرش نقضي كل الوقت في التواصل الاجتماعي. لازم نحاول نعمل اشياء تانية زي تحقيق احلامنا. لذا، لازم نحاول نعيش حياتنا بشكل صحي ونجنب التواصل الاجتماعي الكتير.'	A2	B1			
AR-130-190808	' قد تتحول وسائل التواصل الاجتماعي إلى تهديد محتمل وخطير على الحياة البشرية، وعليه، يتعين على المتعلقين بالتكنولوجيا أن يتجنبوا هذه الوسائل والتداعيات المحتملة الناجمة عنها. إحدى التداعيات الجسيمة لاستخدام وسائل التواصل الاجتماعي هي أنها قد تؤدي إلى الانتحار، مما يعني أن الفرد قد يلجأ إلى الانتحار لأي سبب قد يدفعه إلى الموت بسهولة. الإهمال الذي يرتكبه الأفراد والمجتمع في تخصيصهم لكميات كبيرة من الوقت على وسائل التواصل الاجتماعي يحول دون قدرتهم على تحقيق أهدافهم الحياتية الهامة. بينما البعض لا يدرك مدى الضرر الذي يمكن أن يلحقه هذا التأثير بمستقبلهم. من الضروري أن ينشر أفراد المجتمع الأدلة والمخاطر المحتملة التي قد تترتب على استخدام وسائل التواصل الاجتماعي، وذلك لتعزيز الوعي والتحفيز على تجنبها بشكل معقول. ليس من المستحسن أن نقضي كل وقتنا في الانغماس في عالم وسائل التواصل الاجتماعي، فهذا يمنعنا من استغلال الوقت الثمين الذي لدينا لتحقيق أهدافنا. لذلك، يجب أن نسعى لبناء حياتنا بطريقة فعالة ومثمرة، بدلاً من هدرها في استخدام وسائل التواصل الاجتماعي بشكل مفرط وغير مبرر.'	C1	B1			
AR-130-190808	'يمكن أن تشكل وسائل التواصل الاجتماعي تهديداً كبيراً لحياة البشر، ولذا يتوجب على الأفراد الذين يعتمدون بشكل مفرط على التكنولوجيا الابتعاد عن وسائل التواصل الاجتماعي وتجنب الأضرار المحتملة الناتجة عنها. إحدى الأضرار الخطيرة لاستخدام وسائل التواصل الاجتماعي بشكل مفرط هي الإنتحار، وهو يعني أن الفرد قد يقدم على الإنتحار لأي سبب قد يدفعه إلى ذلك بسهولة. الإهمال الذي يمكن أن ينتج عن قضاء الأفراد والمجتمعات وقتاً طويلاً على وسائل التواصل الاجتماعي يمكن أن يمنعهم من تحقيق أهدافهم الحياتية الهامة. بينما بعض الأفراد لا يدركون مدى التأثير الضار الذي يمكن أن تحدثه وسائل التواصل الاجتماعي على مستقبلهم. من الضروري أن يعمل المجتمع على توعية الأفراد بالأدلة والمخاطر المحتملة التي قد تدفعهم إلى تجنب وسائل التواصل الاجتماعي بشكل معقول. ليس من الجدوى أن نقضي وقتنا الثمين كله في التواصل عبر الإنترنت، بل يجب أن نستغل هذا الوقت في تحقيق أهدافنا وتفضيلاتنا على وسائل التواصل الاجتماعي. لذا يجب أن نبني حياتنا بنجاح ودون إهدارها على وسائل التواصل الاجتماعي.'	C2	B1			
AR-130-190855	'الكتابة عن الحديث و اشياء جديدة مثل الكمبيوتر و الانترنت. الكل يستخدمها الان. تأثير كبير على الناس. في هذا الكتابة، اتكلم عن الانترنت. الناس ينشغلون عن العمل بسبب الانترنت. الناس يعزلون انفسهم عن الاخرين بسبب الانترنت. الانترنت ينشر الاشاعات بين الناس. الثقة بين الناس تنقص بسبب الانترنت. يجب استخدام الانترنت بحذر و تقليل استخدامه. الاطفال يجب ان لا يستخدمون الانترنت لان فيه اشياء ليست جيدة لهم. الانترنت يمكن استخدامه للتعلم و العمل و الربح. الانترنت له فوائد و اضرار.'	A1	B2			
AR-130-190855	'التكنولوجيا و مواقع التواصل في العصر الحديث مهمة. الكل يستخدمها. لها تأثير على الناس و المجتمع. في هذا المقال، سأتكلم عن الأشياء السيئة لمواقع التواصل. أولا، الناس ينشغلون عن واجباتهم اليومية بسببها. ثانيا، الناس يبتعدون عن المجتمع بسبب استخدام مواقع التواصل كثيرا. ثالثا، مواقع التواصل تساعد على نشر الأخبار الكاذبة. الناس يصبحون أقل ثقة في الآخرين. يجب علينا استخدام التواصل الاجتماعي بحذر و تقليل استخدامه. يجب أن نحمي الأطفال من استخدامه لأن هناك محتوى غير مناسب لهم. يجب استخدامه لتعلم أشياء جديدة و تطوير الذات و الحصول على معلومات صحيحة. يمكن أيضا استخدامه لكسب المال. هناك أشياء جيدة و أشياء سيئة في مواقع التواصل الاجتماعي اليوم.'	A2	B2			
AR-130-190855	"'ما يميز العصر الحديث هو تقدم التكنولوجيا ومواقع التواصل الاجتماعي، التي أصبحت تستخدم بشكل واسع في جميع الفئات الاجتماعية، ولها تأثير كبير وملموس على الفرد والمجتمع. في هذا المقال، سأتناول الجوانب السلبية لمواقع التواصل الاجتماعي وتأثيرها على الفرد. 

أولاً، يمكن أن يؤدي الانشغال المفرط بمواقع التواصل الاجتماعي إلى تجاهل الواجبات اليومية، مما يؤدي بالتالي إلى تقليل الشعور بالمسؤولية لدى الفرد. ثانياً، قد ينجم عن الإدمان على استخدام مواقع التواصل الاجتماعي الانعزال عن المجتمع المحلي، مما يؤدي إلى تقليل التواصل الوجهي لوجه مع أفراد العائلة.

ثالثاً، يمكن أن تسهم مواقع التواصل الاجتماعي في نشر الشائعات بين الأفراد وتعزيز الفساد في المجتمع. يمكن أن يؤدي ذلك إلى تفكك الثقة بين المتحدثين خلف الشاشات وبناء علاقات غير موثوقة.

من الضروري أن نستخدم التواصل الاجتماعي بوعي وأن نقلل من استخدامه بشكل كبير، وخصوصاً بالنسبة للأطفال، لأن هناك محتوى غير مناسب لبعض الفئات العمرية. يجب استخدام هذه الأدوات بطريقة تعزز الخبرات الإبداعية وتطور الذات وتقدم معلومات هامة وصحيحة، كما أنها تقدم فرصة جيدة لتحقيق الربح المادي.

بالرغم من وجود العديد من الفوائد والأضرار المرتبطة بمواقع التواصل الاجتماعي، يبقى الوعي والاستخدام الحذر لهذه الأدوات هو العامل الأكثر أهمية في تحديد تأثيرها على حياتنا اليومية.'"	C1	B2			
AR-130-190855	"'ما يميز العصر الحديث هو التطور المستمر في التكنولوجيا والأنظمة الرقمية المستخدمة في مجال التواصل الاجتماعي. تُستخدم هذه الأدوات بشكل جماعي من قبل مختلف أطياف المجتمع، وتحمل في طياتها تأثيرات عميقة على الفرد والمجتمع بأسره. في هذا المقال، سأتناول بالتحليل والتفصيل السلبيات المرتبطة بمواقع التواصل الاجتماعي وتأثيرها على الفرد. 

أولاً، يتسبب الانشغال الشديد بمواقع التواصل في تجاهل الفرد لواجباته اليومية، مما يؤدي بالتالي إلى تقويض الشعور بالمسؤولية والالتزام. ثانياً، يمكن أن يؤدي الاستخدام المفرط والمتكرر لهذه المواقع إلى الانعزال الاجتماعي، حيث يتم التقليل من التواصل المباشر مع أفراد العائلة والأصدقاء. 

ثالثاً، تساهم مواقع التواصل الاجتماعي في نشر الشائعات والمعلومات المضللة بين الأفراد، مما يؤدي إلى تفشي الفساد في المجتمع. تتضمن هذه القضايا تفكك الثقة بين الأشخاص الذين يتواصلون من خلال الشاشات وبناء علاقات غير موثوقة. 

لذا، يتعين علينا استخدام وسائل التواصل الاجتماعي بوعي وحذر، وتقليل استخدامها بشكل كبير. يجب أن نحمي الأطفال من استخدامها بشكل غير مناسب، لأنها تحتوي على محتوى غير مناسب لبعض الفئات العمرية. 

يجب أن نستغل الفرص المتاحة من استخدام مواقع التواصل الاجتماعي بشكل إيجابي، مثل اكتساب الخبرات الإبداعية، والتطور الشخصي، واكتساب المعلومات الهامة والصحيحة. وهي أيضا فرصة جيدة لتحقيق الربح المادي. 

بالرغم من الفوائد العديدة، لا يمكننا تجاهل الأضرار الناجمة عن استخدام مواقع التواصل الاجتماعي. لذا يتعين علينا أن نكون حذرين ونتعامل معها بوعي.'"	C2	B2			
AR-130-190863	'الانترنت له تأثير على الناس. هناك أشياء جيدة وأشياء سيئة. من الأشياء الجيدة أن الناس يمكنهم الحصول على نصائح صحية والتعرف على أماكن سياحية ومطاعم جديدة. يمكنهم أيضا التعرف على أصدقاء جدد وتعلم أشياء جديدة. ولكن هناك أشياء سيئة. الناس يمكن أن يصوروا الآخرين بدون علمهم أو يصوروا أشياء غير قانونية. يمكنهم الكلام عن السياسة ويشتمون الناس الآخرين. الطلاب قد يهملون دراستهم لأنهم يلعبون في الهاتف طوال اليوم. وأيضا هناك التنمر.'	A1	B1			
AR-130-190863	'التواصل الاجتماعي له تأثير على الناس. يمكن أن يكون جيدا و سيئا. يجب على الناس استخدامه بشكل صحيح. الجيد في التواصل الاجتماعي هو أن هناك أطباء يعطون نصائح صحية. يمكنك أيضا التعرف على أماكن جديدة و مطاعم جديدة. ولكن، هناك أشياء سيئة. بعض الناس يستخدمون التواصل الاجتماعي بشكل سيء. يصورون الناس بدون علمهم. يتحدثون عن السياسة. يعيبون الناس الآخرين. الطلاب يهملون دراستهم لأنهم يستخدمون الهاتف كثيرا. هناك أيضا التنمر.'	A2	B1			
AR-130-190863	'تمتاز وسائل التواصل الاجتماعي بتأثيرها العميق والشامل على الفرد والمجتمع، حيث تتجلى أثارها بين الإيجابية والسلبية. لذا، يتوجب على الإنسان أن يتبع الأساليب الصحيحة في استخدامها لتجنب الوقوع في المشاكل الناتجة عن الاستخدام الغير مناسب، والتي يمكن أن يستغني عنها بسهولة. من الجوانب الإيجابية لوسائل التواصل الاجتماعي هو توافر الأطباء المتخصصين الذين يقدمون النصائح الطبية ويناقشون المشاكل الصحية وكيفية التعامل معها دون الحاجة لزيارة الطبيب، وذلك عبر صفحاتهم الخاصة في مواقع التواصل الاجتماعي. بالإضافة إلى ذلك، يمكنك من خلال التواصل الاجتماعي التعرف على المواقع السياحية المحلية والدولية، واكتشاف المطاعم الجديدة، والتواصل مع أصدقاء جدد، وطرح مواضيع تعود بالفائدة على الجمهور. ومن الجانب السلبي، يمكن أن يساهم استخدام وسائل التواصل الاجتماعي بشكل غير ملائم في تصوير الأشخاص دون علمهم أو تصوير أمور غير قانونية، أو الدخول في مناقشات سياسية تؤدي إلى الإساءة للشعوب الأخرى. ومن الجوانب السلبية الأخرى هو تجاهل الطلاب لدراستهم بسبب قضاء أوقات طويلة في التفاعل مع الهاتف، وكذلك انتشار ظاهرة التنمر الإلكتروني.'	C1	B1			
AR-130-190863	'تتمتع وسائل التواصل الاجتماعي بتأثير هائل على الفرد والمجتمع، فهي تحمل في طياتها الجوانب الإيجابية والسلبية على حد سواء. من الضروري أن يتم التعامل مع هذه الوسائل بدرجة عالية من الحذر والوعي، لتجنب الوقوع في مشاكل غير ضرورية ومتاعب لا يحتاجها الفرد. من الجوانب الإيجابية لوسائل التواصل الاجتماعي هو تواجد الأطباء المتخصصين الذين يقدمون النصائح الطبية ويناقشون المشاكل الصحية، ويقدمون الإرشادات حول كيفية التعامل معها دون الحاجة لزيارة العيادة، وذلك من خلال صفحاتهم على مواقع التواصل الاجتماعي. بالإضافة إلى ذلك، يمكن للأفراد من خلال التواصل الاجتماعي التعرف على المناطق السياحية داخل وخارج الدولة، واكتشاف المطاعم الجديدة، وتكوين صداقات جديدة، وطرح مواضيع تعود بالفائدة على الناس. ومع ذلك، توجد جوانب سلبية لاستخدام وسائل التواصل الاجتماعي، مثل استخدامها بطريقة غير أخلاقية مثل التصوير السري للأفراد، أو التقاط صور لأنشطة غير قانونية، أو الدخول في نقاشات سياسية حادة والإساءة للشعوب الأخرى. ومن الجوانب السلبية أيضاً هو إهمال الطلاب لدراستهم بسبب الإدمان على استخدام الهاتف، والإنغماس في الألعاب الإلكترونية طوال اليوم، بالإضافة إلى انتشار ظاهرة التنمر الإلكتروني.'	C2	B1			
AR-130-191075	' الانترنت مهم جدا. بعض الناس يستخدمون الانترنت كتير. يكلمون الاصدقاء والعائلة. بعض الناس يستخدمون الانترنت كل الوقت. هذا مش كويس. يمكن يصير الشخص مدمن. الجلوس كتير مش صحي. الوالدين يجب يقولوا للاطفال كيف يستخدمون الانترنت. '	A1	B1			
AR-130-191075	'الانترنت مهم جداً ولكن له اضرار. الناس يستخدمون الانترنت للتحدث مع الاصدقاء او العائلة. بعض الناس يستخدمون الانترنت كل الوقت وهذا يؤدي الى الادمان وضياع الوقت. الجلوس كثيراً يؤثر على صحة الجسم. الاباء يجب ان يعلموا ابنائهم كيف يستخدمون الانترنت بشكل صحيح.'	A2	B1			
AR-130-191075	' تعتبر وسائل التواصل الاجتماعي عنصراً حاسماً وأساسياً في حياتنا اليومية، رغم أنها تحمل معها مجموعة من الأضرار والمخاطر. بعض الأفراد يستغلون هذه المنصات بحكمة وبشكل محدود، مثل إجراء محادثات عابرة مع الأصدقاء أو أفراد العائلة. ولكن، هناك جمهور آخر يتماهى مع المنصات الاجتماعية بشكل مستمر ومتواصل، مما يؤدي إلى الإدمان وتبديد الوقت الثمين. بالإضافة إلى ذلك، يمكن أن يكون الجلوس لفترات طويلة أمام الشاشات ضاراً بصحة الجسم على المدى الطويل. بالتالي، يتحتم على الوالدين توجيه أبنائهم بشأن الطريقة الأمثل والأكثر فعالية لاستخدام الإنترنت ومواقع التواصل الاجتماعي، وذلك للحد من التأثيرات السلبية المحتملة.'	C1	B1			
AR-130-191075	' يعتبر استخدام وسائل التواصل الاجتماعي أمراً حاسماً ومهماً بلا شك، ولكنه يحمل في طياته بعض المخاطر والأضرار. بعض الأفراد يستعينون بمواقع التواصل الاجتماعي بشكل أساسي وضروري، مثل التواصل مع الأصدقاء أو أعضاء العائلة، في حين أن البعض الآخر يميل إلى استغلال هذه المواقع بشكل مستمر ومتواصل طوال اليوم، مما يؤدي في النهاية إلى الإدمان وإهدار الوقت الثمين. هذا بالإضافة إلى أن الجلوس لفترات طويلة أمام الشاشات قد يكون له تأثير سلبي على صحة الجسم على المدى البعيد. من هنا، يتحتم على الوالدين توجيه أبنائهم وتثقيفهم حول الطرق الأمثل والأكثر فعالية لاستخدام الإنترنت ومواقع التواصل الاجتماعي، وتعليمهم كيفية التعامل مع هذه الأدوات الرقمية بطريقة مسؤولة ومراقبة استخدامهم لها بشكل منتظم.'	C2	B1			
AR-130-191088	'التواصل عبر النت مثل تويتر و فيس بوك و يوتيوب و واتس اب جيد وسيء. الناس يتحدثون ويعرفون الأخبار الجديدة. يمكن أن يكون جيدا للدراسة. لكن يمكن أن يكون سيء للخصوصية والصحة. الناس قد لا يتحدثون مع الآخرين ويمكن أن يكون المجتمع غير جيد.'	A1	B1			
AR-130-191088	"'وسائل الاتصال الجديدة مثل برامج الفيس بوك وتويتر ويوتيوب وواتس اب هي طرق للتحدث مع الناس. هذه البرامج تساعد على معرفة الأخبار والمعلومات الجديدة. هذا يمكن أن يكون جيد للدراسة وللمجتمع. ولكن، هناك أيضا مشاكل. مثل، الناس يمكن أن يخسروا الوعي والتواصل الحقيقي مع الناس. يمكن أن يكون هناك مشاكل في الخصوصية أيضا. المجتمع قد لا يتطور بشكل جيد بسبب هذه المشاكل. '
"	A2	B1			
AR-130-191088	"'تعتبر وسائل التواصل الاجتماعي، التي تشمل تطبيقات مثل تويتر، فيسبوك، يوتيوب وواتساب، تقنيات متطورة تُستخدم لتعزيز التواصل بين أفراد المجتمع والعائلة. تتمتع هذه الوسائل بتأثيرين متناقضين؛ إيجابي وسلبي، على الفرد والمجتمع على حد سواء. 

من الجوانب الإيجابية لوسائل التواصل الاجتماعي، القدرة على توطيد العلاقات بين الناس وتوفير الإمكانية للإطلاع على الأخبار الراهنة والمعلومات الجديدة. النتائج المترتبة على هذا الاستخدام الإيجابي يمكن أن تكون مفيدة للفرد، مثل تحقيق التفوق الأكاديمي وبناء مجتمع مزدهر وناجح. 

ومع ذلك، يتميز الجانب السلبي لوسائل التواصل الاجتماعي بالانتهاكات المستمرة للخصوصية والتأثير الضار على الوعي الفردي والجمعي. قد يؤدي استخدامها بشكل غير مناسب إلى التسبب في مشكلات صحية للفرد، مثل التوحد أو العزلة الاجتماعية، وبالتالي يمكن أن يؤدي إلى تكوين مجتمع فاقد للوعي والتطور. 

لذا، يتطلب الأمر منا التعامل مع وسائل التواصل الاجتماعي بحذر ووعي، لنستفيد من فوائدها ونتجنب أضرارها.'"	C1	B1			
AR-130-191088	"'تعتبر وسائل التواصل الاجتماعي، التي تتجسد في صورة تقنيات أو برمجيات متطورة، أدوات حيوية للتفاعل مع أفراد المجتمع أو الأسرة. تتسم هذه الوسائل بتأثيرها المزدوج، إذ يمكن أن يكون إيجابيًا أو سلبيًا على الفرد والمجتمع على حد سواء. من أبرز الأمثلة على وسائل التواصل الاجتماعي نجد تويتر، فيسبوك، يوتيوب وواتساب.

فيما يتعلق بالجوانب الإيجابية، تسهم وسائل التواصل الاجتماعي في تعزيز التواصل بين الأشخاص، وتوفر لهم الفرصة للإطلاع على الأخبار اليومية والحصول على معلومات جديدة. وبالتالي، يمكن أن ينعكس هذا الأثر الإيجابي على الفرد من خلال تحقيق التفوق الأكاديمي، وعلى المجتمع من خلال الارتقاء بمستوى النجاح والتقدم.

ومع ذلك، فإن الجوانب السلبية لا يمكن تجاهلها. يمكن أن تتسبب وسائل التواصل الاجتماعي في انتهاكات خطيرة للخصوصية، وفقدان الوعي الاجتماعي. وقد يترتب على هذه التأثيرات السلبية ظهور أمراض نفسية عند الأفراد، مثل التوحد، أو الانعزال الاجتماعي وعدم الرغبة في الجلوس مع الناس والتواصل معهم. وعلى مستوى المجتمع، قد يؤدي ذلك إلى خلق بيئة تفتقر إلى الوعي الاجتماعي والتطور.'"	C2	B1			
AR-130-191115	'الانترنت مهم في حياتنا. يمكن أن يكون جيد وسيء. الكثير من الناس يستخدمون الانترنت كثيرا. هم لا يتحدثون مع الناس في الحقيقة. هم يبقون في غرفهم. هذا يمكن أن يكون سيء. الانترنت يمكن أن يأخذ وقت كثير. لكن الانترنت يمكن أن يكون جيد أيضا. يمكننا التحدث مع الناس من بلدان أخرى. يمكننا أن نتعلم أشياء جديدة. يمكننا التحكم في كيف نستخدم الانترنت. يجب أن نحاول أن نستخدم الانترنت بطريقة جيدة. يجب أن لا ندع الانترنت يؤذينا.'	A1	B1			
AR-130-191115	'التواصل الاجتماعي له تأثير في المجتمع، سواء كان جيدا او سيئا. في مجتمعنا اليوم، كثير من الناس يستخدمون التواصل الاجتماعي بكثرة. هذا يغير كيف نتعامل مع الناس والأشياء. بعض الناس لا يتحدثون مع الناس في الحقيقة بسبب التواصل الاجتماعي. هذا يجعلهم يشعرون بالوحدة ويقضون الكثير من الوقت وحدهم. التواصل الاجتماعي يمكن أن يكون سيئا اذا كان الناس يستخدمونه بطريقة سيئة. يمكن أن يضيع الناس الكثير من الوقت في استخدام التواصل الاجتماعي بدون هدف. لكن التواصل الاجتماعي يمكن أن يكون جيدا أيضا. يمكن للناس التحدث مع الناس من بلدان أخرى. يمكن للناس أن يتعلموا أشياء جديدة. الناس يمكن أن يستخدموا التواصل الاجتماعي بطريقة جيدة اذا كانوا يعرفون كيف. الناس يمكن أن يتأثروا بطريقة جيدة اذا كانوا يستخدمون التواصل الاجتماعي بطريقة جيدة.'	A2	B1			
