	Document	Sentence	POS	LEX	lemma#pos	readability
148	AR-130-192528	على	prep	عَلَى	عَلَى#prep	1
149	AR-130-192528	الهاتف	noun	هاتِف	هاتِف#noun	1
150	AR-130-192528	و	conj	وَ	وَ#conj	1
151	AR-130-192528	وسائل	noun	وَسِيلَة	وَسِيلَة#noun	2
152	AR-130-192528	التواصل	noun	تَواصُل	تَواصُل#noun	3
153	AR-130-192528	الاجتماعي	adj	ٱِجْتِماعِيّ	ٱِجْتِماعِيّ#adj	3
154	AR-130-192528	و	conj	وَ	وَ#conj	1
155	AR-130-192528	هذا	pron_dem	هٰذا	هٰذا#pron_dem	1
156	AR-130-192528	مضر	adj	مُضِرّ	مُضِرّ#adj	1
157	AR-130-192528	ل	prep	لِ	لِ#prep	1
158	AR-130-192528	الصحة	noun	صِحَّة	صِحَّة#noun	1
159	AR-130-192528	و	conj	وَ	وَ#conj	1
160	AR-130-192528	أيضا	noun	أَيْض	أَيْض#noun	4
161	AR-130-192528	يشتت	verb	شَتّ	شَتّ#verb	4
162	AR-130-192528	عقل	noun	عَقْل	عَقْل#noun	1
163	AR-130-192528	الأطفال	noun	طِفْل	طِفْل#noun	1
164	AR-130-192528	ل	prep	لِ	لِ#prep	1
165	AR-130-192528	أن	conj_sub	أَنَّ	أَنَّ#conj_sub	2
166	AR-130-192528	ه	abbrev	ه	ه#abbrev	0
167	AR-130-192528	البعض	adj	بَعْض	بَعْض#adj	0
168	AR-130-192528	ينشرون	verb	نَشَر	نَشَر#verb	2
169	AR-130-192528	صور	noun_prop	صُور	صُور#noun_prop	0
170	AR-130-192528	عنف	noun	عُنْف	عُنْف#noun	3
171	AR-130-192528	أو	conj	أَو	أَو#conj	0
172	AR-130-192528	قصص	noun	قِصَّة	قِصَّة#noun	1
173	AR-130-192528	مرعبة	adj	مُرْعِب	مُرْعِب#adj	1
174	AR-130-192528	و	conj	وَ	وَ#conj	1
175	AR-130-192528	هذا	pron_dem	هٰذا	هٰذا#pron_dem	1
176	AR-130-192528	خطر	noun	خَطَر	خَطَر#noun	1
177	AR-130-192528	جدا	noun	جِدّ	جِدّ#noun	3
178	AR-130-192528	.	punc	.	.#punc	0
179	AR-130-192528	و	conj	وَ	وَ#conj	1
180	AR-130-192528	أيضا	noun	أَيْض	أَيْض#noun	4
181	AR-130-192528	الجميع	noun	جَمِيع	جَمِيع#noun	0
182	AR-130-192528	أصبح	verb	أَصْبَح	أَصْبَح#verb	2
183	AR-130-192528	يظهر	verb	أَظْهَر	أَظْهَر#verb	3
184	AR-130-192528	اشائعات	noun_prop	اشائعات	اشائعات#noun_prop	0
185	AR-130-192528	عبر	noun	عَبْر	عَبْر#noun	2
186	AR-130-192528	وسائل	noun	وَسِيلَة	وَسِيلَة#noun	2
187	AR-130-192528	التواصل	noun	تَواصُل	تَواصُل#noun	3
188	AR-130-192528	الاجتماعي	adj	ٱِجْتِماعِيّ	ٱِجْتِماعِيّ#adj	3
189	AR-130-192528	ل	prep	لِ	لِ#prep	1
190	AR-130-192528	كي	conj	كَي	كَي#conj	0
191	AR-130-192528	يصبح	verb	أَصْبَح	أَصْبَح#verb	2
192	AR-130-192528	مشهورا	adj	مَشْهُور	مَشْهُور#adj	1
193	AR-130-192528	و	conj	وَ	وَ#conj	1
194	AR-130-192528	من	prep	مِن	مِن#prep	1
195	AR-130-192528	الممكن	adj	مُمْكِن	مُمْكِن#adj	1
196	AR-130-192528	n	noun	n	n#noun	0
197	AR-130-192528	يسبب	verb	سَبَّب	سَبَّب#verb	3
198	AR-130-192528	أمراض	noun	مَرَض	مَرَض#noun	1
199	AR-130-192528	من	prep	مِن	مِن#prep	1
200	AR-130-192528	كثر	verb	كَثُر	كَثُر#verb	3
201	AR-130-192528	استخدام	noun	ٱِسْتِخْدام	ٱِسْتِخْدام#noun	1
202	AR-130-192528	ها	pron_dem	ها	ها#pron_dem	5
203	AR-130-192528	مثل	noun	مِثْل	مِثْل#noun	1
204	AR-130-192528	مرض	noun	مَرَض	مَرَض#noun	1
205	AR-130-192528	الصرع	noun	صَرْع	صَرْع#noun	4
206	AR-130-192528	أو	conj	أَو	أَو#conj	0
207	AR-130-192528	التوحد	noun	تَوَحُّد	تَوَحُّد#noun	4
208	AR-130-192528	و	conj	وَ	وَ#conj	1
209	AR-130-192528	أيضا	noun	أَيْض	أَيْض#noun	4
210	AR-130-192528	ممكن	adj	مُمْكِن	مُمْكِن#adj	1
211	AR-130-192528	n	noun	n	n#noun	0
212	AR-130-192528	يسبب	verb	سَبَّب	سَبَّب#verb	3
213	AR-130-192528	ف	abbrev	فَ	فَ#abbrev	0
214	AR-130-192528	تنه	verb	أَنْهَى	أَنْهَى#verb	3
215	AR-130-192528	بين	noun	بَيِّن	بَيِّن#noun	0
216	AR-130-192528	المجتمع	noun	مُجْتَمَع	مُجْتَمَع#noun	2
217	AR-130-192528	و	conj	وَ	وَ#conj	1
218	AR-130-192528	هذا	pron_dem	هٰذا	هٰذا#pron_dem	1
219	AR-130-192528	من	prep	مِن	مِن#prep	1
220	AR-130-192528	أضرار	noun	ضَرَر	ضَرَر#noun	2
221	AR-130-192528	وسائل	noun	وَسِيلَة	وَسِيلَة#noun	2
222	AR-130-192528	التواصل	noun	تَواصُل	تَواصُل#noun	3
223	AR-130-192528	الاجتماعي	adj	ٱِجْتِماعِيّ	ٱِجْتِماعِيّ#adj	3
224	AR-130-192528	.	punc	.	.#punc	0
225	AR-130-192528	و	conj	وَ	وَ#conj	1
226	AR-130-192528	يوجد	verb	وَجَد	وَجَد#verb	1
227	AR-130-192528	فوائد	noun	فائِدَة	فائِدَة#noun	2
228	AR-130-192528	ل	prep	لِ	لِ#prep	1
229	AR-130-192528	وسائل	noun	وَسِيلَة	وَسِيلَة#noun	2
230	AR-130-192528	التواصل	noun	تَواصُل	تَواصُل#noun	3
231	AR-130-192528	الاجتماعي،	noun_prop	الاجتماعي،	الاجتماعي،#noun_prop	0
232	AR-130-192528	تساعد	verb	ساعَد	ساعَد#verb	1
233	AR-130-192528	التواصل	noun	تَواصُل	تَواصُل#noun	3
234	AR-130-192528	الاجتماعي	adj	ٱِجْتِماعِيّ	ٱِجْتِماعِيّ#adj	3
235	AR-130-192528	على	prep	عَلَى	عَلَى#prep	1
236	AR-130-192528	سهولة	noun	سُهُولَة	سُهُولَة#noun	1
237	AR-130-192528	التسويق	noun	تَسْوِيق	تَسْوِيق#noun	4
238	AR-130-192528	عبر	noun	عَبْر	عَبْر#noun	2
239	AR-130-192528	المواقع	noun	مَوْقِع	مَوْقِع#noun	2
240	AR-130-192528	بدلا	noun	بَدَل	بَدَل#noun	1
241	AR-130-192528	من	prep	مِن	مِن#prep	1
242	AR-130-192528	الذهاب	noun	ذَهاب	ذَهاب#noun	1
243	AR-130-192528	إلى	prep	إِلَى	إِلَى#prep	1
244	AR-130-192528	السوق	noun	سُوق	سُوق#noun	1
245	AR-130-192528	و	conj	وَ	وَ#conj	1
246	AR-130-192528	أيضا	noun	أَيْض	أَيْض#noun	4
247	AR-130-192528	يوجد	verb	وَجَد	وَجَد#verb	1
248	AR-130-192528	مهارات	noun	مَهارَة	مَهارَة#noun	2
249	AR-130-192528	مثلا	noun	مَثَل	مَثَل#noun	2
250	AR-130-192528	اللغة	noun	لُغَة	لُغَة#noun	1
251	AR-130-192528	الإنجليزية	adj	إِنْجلِيزِيّ	إِنْجلِيزِيّ#adj	0
252	AR-130-192528	تساعدنا	verb	ساعَد	ساعَد#verb	1
253	AR-130-192528	على	prep	عَلَى	عَلَى#prep	1
254	AR-130-192528	تقوية	noun	تَقْوِيَة	تَقْوِيَة#noun	2
255	AR-130-192528	لغة	noun	لُغَة	لُغَة#noun	1
256	AR-130-192528	نا	noun_prop	نا	نا#noun_prop	0
257	AR-130-192528	في	prep	فِي	فِي#prep	1
258	AR-130-192528	الاجليزي	noun_prop	الاجليزي	الاجليزي#noun_prop	0
259	AR-130-192528	و	conj	وَ	وَ#conj	1
260	AR-130-192528	هذا	pron_dem	هٰذا	هٰذا#pron_dem	1
261	AR-130-192528	شي	noun	شَيّ	شَيّ#noun	4
262	AR-130-192528	مفيد	adj	مُفِيد	مُفِيد#adj	1
263	AR-130-192528	.	punc	.	.#punc	0
264	AR-130-192528	و	conj	وَ	وَ#conj	1
265	AR-130-192528	في	prep	فِي	فِي#prep	1
266	AR-130-192528	النهاية	noun	نِهايَة	نِهايَة#noun	1
267	AR-130-192528	وسائل	noun	وَسِيلَة	وَسِيلَة#noun	2
268	AR-130-192528	التواصل	noun	تَواصُل	تَواصُل#noun	3
269	AR-130-192528	الاجتماعي	adj	ٱِجْتِماعِيّ	ٱِجْتِماعِيّ#adj	3
270	AR-130-192528	يوجد	verb	وَجَد	وَجَد#verb	1
271	AR-130-192528	ل	prep	لِ	لِ#prep	1
272	AR-130-192528	ها	pron_dem	ها	ها#pron_dem	5
273	AR-130-192528	أضرار	noun	ضَرَر	ضَرَر#noun	2
274	AR-130-192528	كثيرة	noun	كَثِير	كَثِير#noun	0
275	AR-130-192528	و	conj	وَ	وَ#conj	1
276	AR-130-192528	ب	abbrev	بِ	بِ#abbrev	0
277	AR-130-192528	عض	verb	عَضّ	عَضّ#verb	1
278	AR-130-192528	الفوائد	noun	فائِدَة	فائِدَة#noun	2
279	AR-130-192528	.	punc	.	.#punc	0
280	AR-130-87760	وسائل	noun	وَسِيلَة	وَسِيلَة#noun	2
281	AR-130-87760	التواصل	noun	تَواصُل	تَواصُل#noun	3
282	AR-130-87760	الاجتماعي	adj	ٱِجْتِماعِيّ	ٱِجْتِماعِيّ#adj	3
283	AR-130-87760	انتشرت	verb	ٱِنْتَشَر	ٱِنْتَشَر#verb	2
284	AR-130-87760	في	prep	فِي	فِي#prep	1
285	AR-130-87760	الآونة	noun	أَوان	أَوان#noun	3
286	AR-130-87760	الأخيرة	adj	أَخِير	أَخِير#adj	2
287	AR-130-87760	من	prep	مِن	مِن#prep	1
288	AR-130-87760	القرن	noun	قَرْن	قَرْن#noun	3
289	AR-130-87760	الحادي	adj	حادِي	حادِي#adj	0
290	AR-130-87760	و	conj	وَ	وَ#conj	1
291	AR-130-87760	العشرين	noun	عِشْرُون	عِشْرُون#noun	0
292	AR-130-87760	و	conj	وَ	وَ#conj	1
293	AR-130-87760	باتت	verb	بات	بات#verb	4
294	AR-130-87760	وسيلة	noun	وَسِيلَة	وَسِيلَة#noun	2
295	AR-130-87760	لا	part_neg	لا	لا#part_neg	1
296	AR-130-87760	يستغني	verb	ٱِسْتَغْنَى	ٱِسْتَغْنَى#verb	3
297	AR-130-87760	عن	prep	عَن	عَن#prep	1
298	AR-130-87760	ها	pron_dem	ها	ها#pron_dem	5
299	AR-130-87760	الملايين	noun	مِلْيُون	مِلْيُون#noun	0
300	AR-130-87760	من	prep	مِن	مِن#prep	1
301	AR-130-87760	الناس	noun	ناس	ناس#noun	1
302	AR-130-87760	.	punc	.	.#punc	0
303	AR-130-87760	السؤال	noun	سُؤال	سُؤال#noun	1
304	AR-130-87760	المحير	adj	مُحَيَّر	مُحَيَّر#adj	5
305	AR-130-87760	هو	pron	هُوَ	هُوَ#pron	1
306	AR-130-87760	هل	part_interrog	هَل	هَل#part_interrog	0
307	AR-130-87760	هذه	pron_dem	هٰذا	هٰذا#pron_dem	1
308	AR-130-87760	الوسائل	noun	وَسِيلَة	وَسِيلَة#noun	2
309	AR-130-87760	الاجتماعية	adj	ٱِجْتِماعِيّ	ٱِجْتِماعِيّ#adj	3
310	AR-130-87760	نعمة	noun	نِعْمَة	نِعْمَة#noun	1
311	AR-130-87760	أم	conj	أَم	أَم#conj	0
312	AR-130-87760	نقمة؟	noun_prop	نقمه؟	نقمه؟#noun_prop	0
313	AR-130-87760	n	noun	n	n#noun	0
314	AR-130-87760	ب	abbrev	بِ	بِ#abbrev	0
315	AR-130-87760	الحقيقة	noun	حَقِيقَة	حَقِيقَة#noun	1
316	AR-130-87760	هي	pron	هِيَ	هِيَ#pron	1
317	AR-130-87760	سلاح	noun	سِلاح	سِلاح#noun	1
318	AR-130-87760	ذو	noun	ذُو	ذُو#noun	3
319	AR-130-87760	حدين	verb	حَدِي	حَدِي#verb	5
320	AR-130-87760	و	conj	وَ	وَ#conj	1
321	AR-130-87760	تعتمد	verb	ٱِعْتَمَد	ٱِعْتَمَد#verb	1
322	AR-130-87760	طريقة	noun	طَرِيقَة	طَرِيقَة#noun	1
323	AR-130-87760	استخدام	noun	ٱِسْتِخْدام	ٱِسْتِخْدام#noun	1
324	AR-130-87760	الشخص	noun	شَخْص	شَخْص#noun	1
325	AR-130-87760	ل	prep	لِ	لِ#prep	1
326	AR-130-87760	هذه	pron_dem	هٰذا	هٰذا#pron_dem	1
327	AR-130-87760	الوسائل	noun	وَسِيلَة	وَسِيلَة#noun	2
328	AR-130-87760	على	prep	عَلَى	عَلَى#prep	1
329	AR-130-87760	النتائج	noun	نَتِيجَة	نَتِيجَة#noun	1
330	AR-130-87760	التي	pron_rel	الَّذِي	الَّذِي#pron_rel	3
331	AR-130-87760	سيتلقاها	verb	تَلَقَّى	تَلَقَّى#verb	4
332	AR-130-87760	.	punc	.	.#punc	0
333	AR-130-87760	ف	abbrev	فَ	فَ#abbrev	0
334	AR-130-87760	يستطيع	verb	ٱِسْتَطاع	ٱِسْتَطاع#verb	1
335	AR-130-87760	مروج	noun	مُرَوِّج	مُرَوِّج#noun	4
336	AR-130-87760	المخدرات	noun	مُخَدِّر	مُخَدِّر#noun	3
337	AR-130-87760	أن	conj_sub	أَنَّ	أَنَّ#conj_sub	2
338	AR-130-87760	ينشر	verb	نَشَر	نَشَر#verb	2
339	AR-130-87760	الفساد	noun	فَساد	فَساد#noun	3
340	AR-130-87760	و	conj	وَ	وَ#conj	1
341	AR-130-87760	الفتن	noun	فِتْنَة	فِتْنَة#noun	4
342	AR-130-87760	في	prep	فِي	فِي#prep	1
343	AR-130-87760	المجتمع	noun	مُجْتَمَع	مُجْتَمَع#noun	2
344	AR-130-87760	من	prep	مِن	مِن#prep	1
345	AR-130-87760	خلال	prep	خِلالَ	خِلالَ#prep	0
346	AR-130-87760	إنشاء	noun	إِنْشاء	إِنْشاء#noun	4
347	AR-130-87760	حساب	noun	حِساب	حِساب#noun	2
348	AR-130-87760	خاص	adj	خاصّ	خاصّ#adj	2
349	AR-130-87760	ب	abbrev	بِ	بِ#abbrev	0
350	AR-130-87760	ه	abbrev	ه	ه#abbrev	0
351	AR-130-87760	في	prep	فِي	فِي#prep	1
352	AR-130-87760	إحدى	noun	أَحَد	أَحَد#noun	1
353	AR-130-87760	وسائل	noun	وَسِيلَة	وَسِيلَة#noun	2
354	AR-130-87760	التواصل	noun	تَواصُل	تَواصُل#noun	3
355	AR-130-87760	الإجتماعي،	noun_prop	الاجتماعي،	الاجتماعي،#noun_prop	0
356	AR-130-87760	و	conj	وَ	وَ#conj	1
357	AR-130-87760	يستطيع	verb	ٱِسْتَطاع	ٱِسْتَطاع#verb	1
358	AR-130-87760	المحافظ	noun	مُحافِظ	مُحافِظ#noun	4
359	AR-130-87760	على	prep	عَلَى	عَلَى#prep	1
360	AR-130-87760	البيئة	noun	بِيئَة	بِيئَة#noun	2
361	AR-130-87760	أن	conj_sub	أَنَّ	أَنَّ#conj_sub	2
362	AR-130-87760	ينشر	verb	نَشَر	نَشَر#verb	2
363	AR-130-87760	الوعي	noun	وَعْي	وَعْي#noun	3
364	AR-130-87760	عن	prep	عَن	عَن#prep	1
365	AR-130-87760	طرق	noun	طَرِيق	طَرِيق#noun	1
366	AR-130-87760	صون	noun	صَوْن	صَوْن#noun	4
367	AR-130-87760	البيئة	noun	بِيئَة	بِيئَة#noun	2
368	AR-130-87760	و	conj	وَ	وَ#conj	1
369	AR-130-87760	الحفاظ	noun	حِفاظ	حِفاظ#noun	2
370	AR-130-87760	على	prep	عَلَى	عَلَى#prep	1
371	AR-130-87760	ها	pron_dem	ها	ها#pron_dem	5
372	AR-130-87760	من	prep	مِن	مِن#prep	1
373	AR-130-87760	خلال	prep	خِلالَ	خِلالَ#prep	0
374	AR-130-87760	هذه	pron_dem	هٰذا	هٰذا#pron_dem	1
375	AR-130-87760	الوسائل	noun	وَسِيلَة	وَسِيلَة#noun	2
376	AR-130-87760	الاجتماعية	adj	ٱِجْتِماعِيّ	ٱِجْتِماعِيّ#adj	3
377	AR-130-87760	أيضا	noun	أَيْض	أَيْض#noun	4
378	AR-130-87760	.	punc	.	.#punc	0
379	AR-130-87760	أصبحت	verb	أَصْبَح	أَصْبَح#verb	2
380	AR-130-87760	الوسائل	noun	وَسِيلَة	وَسِيلَة#noun	2
381	AR-130-87760	الاجتماعية	adj	ٱِجْتِماعِيّ	ٱِجْتِماعِيّ#adj	3
382	AR-130-87760	جزء	noun	جُزْء	جُزْء#noun	1
383	AR-130-87760	من	prep	مِن	مِن#prep	1
384	AR-130-87760	روتين	noun	رُوتِين	رُوتِين#noun	2
385	AR-130-87760	كل	noun	كُلّ	كُلّ#noun	0
386	AR-130-87760	شخص	noun	شَخْص	شَخْص#noun	1
387	AR-130-87760	في	prep	فِي	فِي#prep	1
388	AR-130-87760	يوم	noun	يَوْم	يَوْم#noun	1
389	AR-130-87760	نا	noun_prop	نا	نا#noun_prop	0
