	Document	errors	word count	existing word count	error rate	grade	ratio_of_nouns	ratio_of_verbs	ratio_of_prep	ratio_of_conj	ratio_of_adv
25	AR-130-188826	39	177	150	0.2203389830508474	B2	0.5056179775280899	0.11235955056179775	0.16853932584269662	0.11235955056179775	0.0056179775280898875
26	AR-130-188847	8	73	50	0.1095890410958904	B1	0.4931506849315068	0.1095890410958904	0.1232876712328767	0.1232876712328767	0.0
27	AR-130-188945	24	103	100	0.233009708737864	A2	0.3883495145631068	0.019417475728155338	0.1553398058252427	0.0970873786407767	0.0
28	AR-130-189349	72	212	200	0.3396226415094339	B2	0.48130841121495327	0.10747663551401869	0.14485981308411214	0.13551401869158877	0.014018691588785047
29	AR-130-189525	28	96	50	0.2916666666666667	B1	0.3645833333333333	0.11458333333333333	0.125	0.125	0.041666666666666664
30	AR-130-189611	28	174	150	0.160919540229885	B1	0.32571428571428573	0.12	0.16	0.14285714285714285	0.017142857142857144
31	AR-130-189750	30	158	150	0.189873417721519	B1	0.4339622641509434	0.11949685534591195	0.1509433962264151	0.12578616352201258	0.006289308176100629
32	AR-130-189799	31	158	150	0.1962025316455696	B1	0.41509433962264153	0.05660377358490566	0.18867924528301888	0.0880503144654088	0.006289308176100629
33	AR-130-189921	41	128	100	0.3203125	B1	0.4453125	0.109375	0.1796875	0.109375	0.0078125
34	AR-130-190122	31	115	100	0.2695652173913043	B1	0.47413793103448276	0.11206896551724138	0.13793103448275862	0.1206896551724138	0.008620689655172414
35	AR-130-190307	55	169	150	0.3254437869822485	B1	0.42857142857142855	0.05714285714285714	0.12	0.09142857142857143	0.0
36	AR-130-190317	24	153	150	0.1568627450980392	B1	0.39869281045751637	0.05228758169934641	0.2222222222222222	0.13071895424836602	0.0196078431372549
37	AR-130-190447	12	171	150	0.0701754385964912	C1	0.3430232558139535	0.06976744186046512	0.14534883720930233	0.1511627906976744	0.023255813953488372
38	AR-130-190745	34	92	50	0.3695652173913043	B1	0.3225806451612903	0.07526881720430108	0.16129032258064516	0.16129032258064516	0.0
39	AR-130-190808	7	146	100	0.047945205479452	B1	0.42	0.1	0.16	0.04	0.0
40	AR-130-190855	44	151	150	0.2913907284768212	B2	0.5526315789473685	0.08552631578947369	0.14473684210526316	0.09210526315789473	0.013157894736842105
41	AR-130-190863	40	142	100	0.2816901408450704	B1	0.45774647887323944	0.1267605633802817	0.14788732394366197	0.1267605633802817	0.0
42	AR-130-191075	10	67	50	0.1492537313432835	B1	0.44776119402985076	0.16417910447761194	0.13432835820895522	0.11940298507462686	0.0
43	AR-130-191088	14	93	50	0.1505376344086021	B1	0.46808510638297873	0.13829787234042554	0.18085106382978725	0.18085106382978725	0.0
44	AR-130-191115	34	183	150	0.1857923497267759	B1	0.3675675675675676	0.11891891891891893	0.21081081081081082	0.11891891891891893	0.0
45	AR-130-191242	18	112	100	0.1607142857142857	B2	0.4375	0.16964285714285715	0.13392857142857142	0.1875	0.0
46	AR-130-191743	40	207	200	0.1932367149758454	B1	0.4666666666666667	0.10476190476190476	0.20952380952380953	0.12857142857142856	0.0
47	AR-130-191794	23	162	150	0.1419753086419753	B2	0.43209876543209874	0.10493827160493827	0.19135802469135801	0.08024691358024691	0.006172839506172839
48	AR-130-191809	20	139	100	0.1438848920863309	B1	0.425531914893617	0.12056737588652482	0.1702127659574468	0.12056737588652482	0.028368794326241134
49	AR-130-191850	32	148	150	0.2162162162162162	B1	0.48366013071895425	0.08496732026143791	0.10457516339869281	0.10457516339869281	0.013071895424836602
50	AR-130-192155	19	97	50	0.1958762886597938	B1	0.52	0.13	0.12	0.11	0.0
51	AR-130-192218	20	124	100	0.1612903225806451	B1	0.456	0.072	0.184	0.128	0.0
52	AR-130-192387	21	71	50	0.2957746478873239	B1	0.5	0.08108108108108109	0.20270270270270271	0.13513513513513514	0.0
53	AR-130-192490	37	152	150	0.2434210526315789	B2	0.4805194805194805	0.12337662337662338	0.15584415584415584	0.21428571428571427	0.01948051948051948
54	AR-130-192528	34	134	100	0.2537313432835821	B1	0.5147058823529411	0.125	0.15441176470588236	0.1323529411764706	0.0
55	AR-130-192582	21	42	0	0.5	B1	0.5681818181818182	0.09090909090909091	0.18181818181818182	0.18181818181818182	0.0
56	AR-130-192654	21	131	100	0.1603053435114503	B2	0.4962962962962963	0.08148148148148149	0.15555555555555556	0.08888888888888889	0.0
57	AR-130-192696	48	158	150	0.3037974683544304	B1	0.379746835443038	0.13291139240506328	0.13291139240506328	0.17721518987341772	0.0189873417721519
58	AR-130-192707	21	151	150	0.1390728476821192	B2	0.40131578947368424	0.13157894736842105	0.17763157894736842	0.125	0.006578947368421052
59	AR-130-192747	37	154	150	0.2402597402597402	B1	0.43670886075949367	0.08860759493670886	0.13291139240506328	0.0949367088607595	0.0379746835443038
60	AR-130-192751	28	102	100	0.2745098039215686	B1	0.5238095238095238	0.13333333333333333	0.18095238095238095	0.12380952380952381	0.009523809523809525
61	AR-130-192885	41	125	100	0.328	B1	0.46564885496183206	0.10687022900763359	0.13740458015267176	0.061068702290076333	0.022900763358778626
62	AR-130-192922	24	102	100	0.2352941176470588	B1	0.4803921568627451	0.08823529411764706	0.17647058823529413	0.12745098039215685	0.0196078431372549
63	AR-130-192949	37	123	100	0.3008130081300813	B1	0.4523809523809524	0.11904761904761904	0.15079365079365079	0.1111111111111111	0.0
64	AR-130-193363	41	111	100	0.3693693693693693	B1	0.30701754385964913	0.09649122807017543	0.14912280701754385	0.11403508771929824	0.0
65	AR-130-193451	41	116	100	0.3534482758620689	B1	0.48760330578512395	0.024793388429752067	0.1322314049586777	0.11570247933884298	0.0
66	AR-130-193838	39	102	50	0.3823529411764705	B1	0.49038461538461536	0.1346153846153846	0.1346153846153846	0.125	0.0
67	AR-130-194708	3	33	0	0.0909090909090909	B1	0.36363636363636365	0.09090909090909091	0.18181818181818182	0.09090909090909091	0.0
68	AR-130-194718	37	227	200	0.1629955947136563	B2	0.37446808510638296	0.1276595744680851	0.11063829787234042	0.08936170212765958	0.00425531914893617
69	AR-130-195100	31	134	100	0.2313432835820895	B1	0.45390070921985815	0.1276595744680851	0.1276595744680851	0.1276595744680851	0.014184397163120567
70	AR-130-19632	31	86	50	0.3604651162790697	B1	0.4044943820224719	0.02247191011235955	0.11235955056179775	0.12359550561797752	0.02247191011235955
71	AR-130-197835	117	385	350	0.3038961038961039	B2	0.4267352185089974	0.10282776349614396	0.15681233933161953	0.10282776349614396	0.002570694087403599
72	AR-130-197898	25	107	100	0.2336448598130841	B2	0.5981308411214953	0.04672897196261682	0.14953271028037382	0.11214953271028037	0.018691588785046728
73	AR-130-198249	38	161	150	0.2360248447204969	B2	0.37058823529411766	0.07058823529411765	0.10588235294117647	0.09411764705882353	0.01764705882352941
74	AR-130-19883	23	148	100	0.1554054054054054	B1	0.4934210526315789	0.06578947368421052	0.17105263157894737	0.09868421052631579	0.006578947368421052
75	AR-130-199101	113	285	250	0.3964912280701754	B2	0.34146341463414637	0.07317073170731707	0.1254355400696864	0.1289198606271777	0.020905923344947737
76	AR-130-19921	47	183	150	0.2568306010928962	B1	0.3763440860215054	0.06989247311827956	0.15053763440860216	0.13440860215053763	0.0
77	AR-130-199634	37	182	150	0.2032967032967033	B2	0.48633879781420764	0.08196721311475409	0.17486338797814208	0.11475409836065574	0.01639344262295082
78	AR-130-199747	30	184	150	0.1630434782608695	B2	0.42702702702702705	0.07027027027027027	0.17297297297297298	0.10270270270270271	0.0
79	AR-130-199818	21	110	100	0.1909090909090909	B1	0.45454545454545453	0.11818181818181818	0.15454545454545454	0.11818181818181818	0.03636363636363636
80	AR-130-287997	21	106	100	0.1981132075471698	B1	0.3888888888888889	0.12037037037037036	0.17592592592592593	0.09259259259259259	0.0
81	AR-130-288874	17	69	50	0.2463768115942029	B2	0.463768115942029	0.057971014492753624	0.17391304347826086	0.2028985507246377	0.0
82	AR-130-289073	18	73	50	0.2465753424657534	B1	0.4520547945205479	0.0958904109589041	0.1643835616438356	0.0547945205479452	0.0
83	AR-130-289115	7	43	0	0.1627906976744186	A2	0.3953488372093023	0.046511627906976744	0.046511627906976744	0.11627906976744186	0.0
84	AR-130-289903	31	89	50	0.348314606741573	B1	0.3888888888888889	0.12222222222222222	0.12222222222222222	0.13333333333333333	0.011111111111111112
85	AR-130-292703	0	5	0	0.0	Unassessable	0.4	0.4	0.2	0.0	0.2
86	AR-130-294255	75	209	200	0.3588516746411483	B1	0.45454545454545453	0.07177033492822966	0.1722488038277512	0.07655502392344497	0.0
87	AR-130-68830	5	85	50	0.0588235294117647	B1	0.48863636363636365	0.125	0.20454545454545456	0.11363636363636363	0.0
88	AR-130-80566	45	150	150	0.3	B2	0.4129032258064516	0.1032258064516129	0.2064516129032258	0.08387096774193549	0.012903225806451613
89	AR-130-80816	48	156	150	0.3076923076923077	B1	0.29559748427672955	0.0880503144654088	0.0880503144654088	0.1069182389937107	0.012578616352201259
90	AR-130-80823	61	184	150	0.3315217391304347	B2	0.3858695652173913	0.11413043478260869	0.17391304347826086	0.11413043478260869	0.010869565217391304
91	AR-130-81303	28	161	150	0.1739130434782608	B1	0.48214285714285715	0.14285714285714285	0.1488095238095238	0.09523809523809523	0.017857142857142856
92	AR-130-81425	32	93	50	0.3440860215053763	B1	0.3684210526315789	0.08421052631578947	0.12631578947368421	0.12631578947368421	0.010526315789473684
93	AR-130-81723	77	259	250	0.2972972972972973	B2	0.40076335877862596	0.0916030534351145	0.22137404580152673	0.10687022900763359	0.0
94	AR-130-81912	6	18	0	0.3333333333333333	Unassessable	0.3684210526315789	0.15789473684210525	0.10526315789473684	0.15789473684210525	0.0
95	AR-130-81924	33	165	150	0.2	B2	0.3939393939393939	0.11515151515151516	0.16363636363636364	0.07878787878787878	0.006060606060606061
96	AR-130-81952	99	230	200	0.4304347826086956	B2	0.38961038961038963	0.05627705627705628	0.14285714285714285	0.12121212121212122	0.017316017316017316
97	AR-130-81953	4	129	100	0.0310077519379844	B2	0.48091603053435117	0.06870229007633588	0.19083969465648856	0.0916030534351145	0.007633587786259542
98	AR-130-82310	92	200	150	0.46	B1	0.3811881188118812	0.054455445544554455	0.10891089108910891	0.15346534653465346	0.009900990099009901
99	AR-130-82421	53	181	150	0.292817679558011	B2	0.4198895027624309	0.03867403314917127	0.13259668508287292	0.1270718232044199	0.0
100	AR-130-82659	31	121	100	0.256198347107438	B1	0.4049586776859504	0.049586776859504134	0.15702479338842976	0.14049586776859505	0.008264462809917356
101	AR-130-82673	63	182	150	0.3461538461538461	B1	0.3783783783783784	0.08108108108108109	0.14594594594594595	0.11891891891891893	0.0
102	AR-130-82789	22	108	100	0.2037037037037037	B2	0.46296296296296297	0.10185185185185185	0.1111111111111111	0.1388888888888889	0.018518518518518517
103	AR-130-83139	27	94	50	0.2872340425531915	B1	0.3191489361702128	0.0851063829787234	0.18085106382978725	0.0851063829787234	0.0
104	AR-130-83165	48	154	150	0.3116883116883117	B1	0.4064516129032258	0.12903225806451613	0.15483870967741936	0.10967741935483871	0.0064516129032258064
105	AR-130-83576	48	126	100	0.3809523809523809	B1	0.3937007874015748	0.09448818897637795	0.10236220472440945	0.1732283464566929	0.0
106	AR-130-83847	6	11	0	0.5454545454545454	Unassessable	0.3333333333333333	0.25	0.25	0.16666666666666666	0.0
107	AR-130-83934	16	125	100	0.128	B1	0.46825396825396826	0.07936507936507936	0.16666666666666666	0.05555555555555555	0.0
108	AR-130-84014	51	196	150	0.2602040816326531	B1	0.42346938775510207	0.08163265306122448	0.2193877551020408	0.05612244897959184	0.0
109	AR-130-84446	32	206	200	0.1553398058252427	B2	0.47619047619047616	0.08095238095238096	0.15714285714285714	0.09523809523809523	0.0
110	AR-130-84488	67	170	150	0.3941176470588235	B1	0.39080459770114945	0.06321839080459771	0.13793103448275862	0.13793103448275862	0.0
111	AR-130-84627	27	146	100	0.184931506849315	B2	0.423841059602649	0.09271523178807947	0.16556291390728478	0.046357615894039736	0.0
112	AR-130-84660	41	149	100	0.2751677852348993	B1	0.31125827814569534	0.07947019867549669	0.19205298013245034	0.09933774834437085	0.006622516556291391
113	AR-130-84687	7	35	0	0.2	B1	0.45714285714285713	0.17142857142857143	0.17142857142857143	0.05714285714285714	0.0
114	AR-130-84846	50	183	150	0.273224043715847	B2	0.41711229946524064	0.0855614973262032	0.18181818181818182	0.13903743315508021	0.0053475935828877
115	AR-130-85294	24	245	200	0.0979591836734693	C1	0.39919354838709675	0.08870967741935484	0.21774193548387097	0.08870967741935484	0.008064516129032258
116	AR-130-85331	56	159	150	0.3522012578616352	B2	0.40625	0.09375	0.11875	0.09375	0.0
117	AR-130-85466	28	159	150	0.1761006289308176	B1	0.4591194968553459	0.06289308176100629	0.1509433962264151	0.09433962264150944	0.0
118	AR-130-85828	49	102	100	0.4803921568627451	B1	0.4411764705882353	0.06862745098039216	0.14705882352941177	0.1568627450980392	0.0
119	AR-130-86032	80	285	250	0.2807017543859649	B2	0.4097222222222222	0.07291666666666667	0.17708333333333334	0.1076388888888889	0.0
120	AR-130-86741	20	127	100	0.1574803149606299	B1	0.4186046511627907	0.046511627906976744	0.15503875968992248	0.06201550387596899	0.0
121	AR-130-86817	13	253	200	0.0513833992094861	B2	0.421259842519685	0.11023622047244094	0.15748031496062992	0.07874015748031496	0.007874015748031496
122	AR-130-87139	7	31	0	0.2258064516129032	A2	0.3225806451612903	0.1935483870967742	0.22580645161290322	0.16129032258064516	0.0
123	AR-130-87491	56	221	200	0.253393665158371	B1	0.35964912280701755	0.08771929824561403	0.12280701754385964	0.10087719298245613	0.0043859649122807015
124	AR-130-87760	33	187	150	0.1764705882352941	C1	0.44680851063829785	0.09042553191489362	0.14893617021276595	0.05851063829787234	0.005319148936170213
125	AR-130-88375	26	109	100	0.2385321100917431	B1	0.3853211009174312	0.11009174311926606	0.11926605504587157	0.09174311926605505	0.0
126	AR-130-88399	25	95	50	0.2631578947368421	B1	0.3473684210526316	0.021052631578947368	0.12631578947368421	0.14736842105263157	0.021052631578947368
127	AR-130-88780	8	74	50	0.1081081081081081	B2	0.3783783783783784	0.0945945945945946	0.14864864864864866	0.08108108108108109	0.0
128	AR-130-89064	69	232	200	0.2974137931034483	B2	0.43162393162393164	0.10256410256410256	0.1452991452991453	0.10683760683760683	0.038461538461538464
129	AR-130-89381	30	155	150	0.1935483870967742	B2	0.432258064516129	0.09032258064516129	0.2064516129032258	0.12903225806451613	0.0064516129032258064
130	AR-130-89391	52	164	150	0.3170731707317073	B2	0.3696969696969697	0.10303030303030303	0.13333333333333333	0.07272727272727272	0.012121212121212121
131	AR-130-89415	2	13	0	0.1538461538461538	Unassessable	0.46153846153846156	0.15384615384615385	0.15384615384615385	0.07692307692307693	0.0
132	AR-130-89587	27	205	200	0.1317073170731707	B1	0.4029126213592233	0.09223300970873786	0.10194174757281553	0.0825242718446602	0.019417475728155338
133	AR-130-89591	45	147	100	0.3061224489795918	B1	0.3783783783783784	0.11486486486486487	0.16216216216216217	0.07432432432432433	0.0
134	AR-130-89653	60	146	100	0.410958904109589	B1	0.4897959183673469	0.09523809523809523	0.19727891156462585	0.10884353741496598	0.02040816326530612
135	AR-130-89674	37	121	100	0.3057851239669421	B1	0.3888888888888889	0.09523809523809523	0.1111111111111111	0.1349206349206349	0.007936507936507936
136	AR-130-89676	53	326	300	0.1625766871165644	B2	0.3495440729483283	0.06990881458966565	0.17325227963525835	0.10638297872340426	0.0243161094224924
137	AR-130-89774	73	173	150	0.4219653179190751	B2	0.4	0.07222222222222222	0.16666666666666666	0.1111111111111111	0.011111111111111112
138	AR-130-90095	19	77	50	0.2467532467532467	B1	0.4935064935064935	0.07792207792207792	0.16883116883116883	0.11688311688311688	0.025974025974025976
139	AR-130-90250	32	163	150	0.1963190184049079	B2	0.4727272727272727	0.09696969696969697	0.12121212121212122	0.10303030303030303	0.012121212121212121
140	AR-130-90308	44	119	100	0.3697478991596639	B1	0.5126050420168067	0.1092436974789916	0.21008403361344538	0.14285714285714285	0.0
141	AR-130-90411	69	166	150	0.4156626506024096	B2	0.391812865497076	0.08187134502923976	0.1286549707602339	0.1286549707602339	0.005847953216374269
142	AR-130-90530	45	164	150	0.274390243902439	B2	0.47878787878787876	0.10909090909090909	0.1696969696969697	0.07272727272727272	0.0
143	AR-130-90626	34	156	150	0.2179487179487179	B1	0.3248407643312102	0.10191082802547771	0.16560509554140126	0.07643312101910828	0.012738853503184714
144	AR-130-90783	7	177	150	0.03954802259887	B2	0.43820224719101125	0.0898876404494382	0.10674157303370786	0.07865168539325842	0.0
145	AR-130-90813	37	220	200	0.1681818181818181	B1	0.38181818181818183	0.09090909090909091	0.1318181818181818	0.08181818181818182	0.013636363636363636
146	AR-130-90873	59	186	150	0.3172043010752688	B1	0.38095238095238093	0.07407407407407407	0.12169312169312169	0.13756613756613756	0.005291005291005291
147	AR-130-91028	26	86	50	0.3023255813953488	B1	0.37209302325581395	0.09302325581395349	0.16279069767441862	0.10465116279069768	0.03488372093023256
148	AR-130-91113	14	178	150	0.0786516853932584	B2	0.46629213483146065	0.08426966292134831	0.15730337078651685	0.09550561797752809	0.0
149	AR-130-91241	23	177	150	0.1299435028248587	B2	0.3202247191011236	0.056179775280898875	0.15168539325842698	0.07865168539325842	0.0056179775280898875
150	AR-130-91256	114	329	300	0.3465045592705167	B1	0.3843843843843844	0.07507507507507508	0.12612612612612611	0.09009009009009009	0.009009009009009009
151	AR-130-91347	15	162	150	0.0925925925925925	B2	0.49390243902439024	0.07317073170731707	0.18902439024390244	0.0975609756097561	0.012195121951219513
152	AR-130-91705	49	155	150	0.3161290322580645	B2	0.3269230769230769	0.16666666666666666	0.12179487179487179	0.08333333333333333	0.0
153	AR-130-92103	16	102	100	0.1568627450980392	B1	0.4230769230769231	0.09615384615384616	0.17307692307692307	0.10576923076923077	0.0
154	AR-130-92132	25	136	100	0.1838235294117647	B2	0.3546099290780142	0.0425531914893617	0.1773049645390071	0.10638297872340426	0.014184397163120567
155	AR-130-92245	39	191	150	0.2041884816753926	B1	0.4873096446700508	0.1065989847715736	0.14213197969543148	0.09644670050761421	0.005076142131979695
156	AR-130-92581	19	156	150	0.1217948717948717	B1	0.3522012578616352	0.11949685534591195	0.18238993710691823	0.09433962264150944	0.012578616352201259
157	AR-130-92771	37	108	100	0.3425925925925926	B1	0.5370370370370371	0.09259259259259259	0.1574074074074074	0.1111111111111111	0.0
158	AR-130-92844	23	126	100	0.1825396825396825	B2	0.43846153846153846	0.1	0.13846153846153847	0.1076923076923077	0.0
159	AR-130-92874	29	115	100	0.2521739130434782	B1	0.3391304347826087	0.11304347826086956	0.13043478260869565	0.13043478260869565	0.0
160	AR-130-92903	50	177	150	0.2824858757062147	B1	0.37988826815642457	0.1005586592178771	0.1564245810055866	0.12290502793296089	0.0
161	AR-130-92956	45	231	200	0.1948051948051948	C1	0.4396551724137931	0.09051724137931035	0.14224137931034483	0.11637931034482758	0.004310344827586207
162	AR-130-92988	53	235	200	0.225531914893617	B1	0.4661016949152542	0.046610169491525424	0.1483050847457627	0.09322033898305085	0.00423728813559322
163	AR-130-93034	58	198	150	0.2929292929292929	B1	0.35148514851485146	0.15346534653465346	0.12376237623762376	0.06435643564356436	0.0
164	AR-130-93037	31	213	200	0.1455399061032863	B2	0.43661971830985913	0.1267605633802817	0.2300469483568075	0.13145539906103287	0.009389671361502348
165	AR-130-93285	35	94	50	0.3723404255319149	B1	0.48936170212765956	0.14893617021276595	0.09574468085106383	0.09574468085106383	0.0
166	AR-130-93459	60	186	150	0.3225806451612903	B1	0.48663101604278075	0.053475935828877004	0.22459893048128343	0.10160427807486631	0.0
167	AR-130-93749	45	155	100	0.2903225806451613	B2	0.36538461538461536	0.1282051282051282	0.14743589743589744	0.14102564102564102	0.00641025641025641
168	AR-130-94052	57	289	250	0.1972318339100346	B1	0.4186851211072664	0.058823529411764705	0.15570934256055363	0.08650519031141868	0.006920415224913495
169	AR-130-94320	53	218	200	0.2431192660550458	B2	0.4	0.1	0.1590909090909091	0.09545454545454546	0.00909090909090909
170	AR-130-94968	85	231	200	0.3679653679653679	B1	0.48497854077253216	0.1072961373390558	0.15450643776824036	0.12446351931330472	0.004291845493562232
171	AR-130-94976	43	231	200	0.1861471861471861	C1	0.46320346320346323	0.09956709956709957	0.15151515151515152	0.07792207792207792	0.017316017316017316
172	AR-130-95365	107	297	250	0.3602693602693603	B2	0.431438127090301	0.11705685618729098	0.19063545150501673	0.10367892976588629	0.013377926421404682
173	AR-130-95601	98	324	300	0.3024691358024691	B2	0.4369230769230769	0.12307692307692308	0.17846153846153845	0.08	0.009230769230769232
174	AR-130-95626	102	278	250	0.3669064748201439	C1	0.3129496402877698	0.02158273381294964	0.1079136690647482	0.12949640287769784	0.0
175	AR-130-95796	12	227	200	0.052863436123348	C1	0.4185022026431718	0.0881057268722467	0.19823788546255505	0.08370044052863436	0.00881057268722467
176	AR-130-95921	57	309	300	0.1844660194174757	B1	0.4045307443365696	0.05177993527508091	0.15857605177993528	0.08090614886731391	0.003236245954692557
177	AR-130-95973	25	87	50	0.2873563218390804	B1	0.38636363636363635	0.07954545454545454	0.2159090909090909	0.11363636363636363	0.011363636363636364
178	AR-130-96120	24	273	250	0.0879120879120879	C1	0.41304347826086957	0.06521739130434782	0.11594202898550725	0.11231884057971014	0.0036231884057971015
179	AR-130-96463	22	142	100	0.1549295774647887	B2	0.4507042253521127	0.11267605633802817	0.14788732394366197	0.09859154929577464	0.0
180	AR-130-96479	27	248	250	0.1088709677419354	C1	0.4246031746031746	0.06746031746031746	0.14285714285714285	0.10317460317460317	0.0
181	AR-130-96682	62	166	150	0.3734939759036144	B2	0.3433734939759036	0.08433734939759036	0.16265060240963855	0.10240963855421686	0.018072289156626505
182	AR-130-96735	55	187	150	0.2941176470588235	B1	0.4368421052631579	0.11052631578947368	0.16842105263157894	0.08421052631578947	0.0
183	AR-130-96882	34	139	100	0.2446043165467626	B1	0.4295774647887324	0.06338028169014084	0.16901408450704225	0.1056338028169014	0.0
184	AR-130-96883	22	183	150	0.1202185792349726	C1	0.43478260869565216	0.08695652173913043	0.14673913043478262	0.059782608695652176	0.0
185	AR-130-97035	76	227	200	0.3348017621145374	B2	0.45217391304347826	0.11739130434782609	0.1826086956521739	0.1	0.0
186	AR-130-97236	77	327	350	0.2354740061162079	B2	0.505524861878453	0.07458563535911603	0.143646408839779	0.11602209944751381	0.0055248618784530384
187	AR-130-97412	79	308	300	0.2564935064935065	B1	0.3656957928802589	0.08414239482200647	0.1715210355987055	0.08090614886731391	0.003236245954692557
188	AR-130-97455	43	248	200	0.1733870967741935	B2	0.4798387096774194	0.09274193548387097	0.1774193548387097	0.14112903225806453	0.0
189	AR-130-97525	91	288	250	0.3159722222222222	B2	0.4236111111111111	0.1111111111111111	0.16319444444444445	0.1111111111111111	0.006944444444444444
190	AR-130-97652	38	250	200	0.152	B2	0.4268774703557312	0.10276679841897234	0.13043478260869565	0.09486166007905138	0.003952569169960474
191	AR-130-97726	61	174	150	0.3505747126436782	B2	0.42857142857142855	0.10857142857142857	0.14285714285714285	0.12571428571428572	0.0
192	AR-130-97823	32	239	200	0.1338912133891213	C1	0.448559670781893	0.07407407407407407	0.1522633744855967	0.09876543209876543	0.0
193	AR-130-97827	30	151	150	0.1986754966887417	B2	0.4370860927152318	0.09271523178807947	0.15894039735099338	0.09271523178807947	0.0
194	AR-130-97841	16	151	150	0.1059602649006622	B2	0.4868421052631579	0.09868421052631579	0.23026315789473684	0.125	0.0
195	AR-130-97908	16	182	150	0.0879120879120879	B2	0.4371584699453552	0.060109289617486336	0.12568306010928962	0.13114754098360656	0.0
196	AR-130-97947	29	69	50	0.4202898550724637	B1	0.34285714285714286	0.12857142857142856	0.14285714285714285	0.1	0.0
197	AR-130-97981	40	161	150	0.2484472049689441	B2	0.345679012345679	0.09876543209876543	0.1728395061728395	0.14814814814814814	0.0
198	AR-130-98023	29	120	100	0.2416666666666666	B1	0.43333333333333335	0.11666666666666667	0.19166666666666668	0.09166666666666666	0.0
199	AR-130-98089	48	156	150	0.3076923076923077	B2	0.41025641025641024	0.09615384615384616	0.21153846153846154	0.10897435897435898	0.00641025641025641
