Document	Raw	grade
AR-030-92524	خلق الله تعالى هذه الامم و الشعوب للتعارف و التفاهم و منها التصالح مع بعضهما الاخر. التسامح شئ مهم في حياتنا اليوميه و الدينيه و للتسامح العديد من الفوائد منها ، تعريف الناس على بعضهم البعض، وعلى الثقافات، والحضارات، والعلوم الموجودة لدى الآخرين. و قد يتسبب التسامح بشعور الأمن، والأمان.يعتقد الكثير من الناس ان التطور هو استخدام كل ماهو جديد او حديث ولاكن مفهوم التطور هو استكشاف اشياء موجوده قديمه تنفع لللمستقبل و القيام باعادت صناعتها لكي تبقى صامده. التطور الحضاري في دولة الإمارات بدأ من اكتشاف المواهب الموجوده في افراد المجتمع و تعزيزهم في إظهارها دولة للإستفاده منها و من هذا الشئ بدأت دولة الإمارات بالتطور و مساعدة الدول الآخرى. ما يتميّز به العصر الحديث هو التقدم الكبير في تكنولوجيا الاتصال و التواصل. ظهرت هذه الوسائل كأنجاز حضاري إستنتجته العقول الذكيه العملاقه. لقد آثرت الكتنولوجيا على العالم باكمله. لدى التكنولوجيا العديد من السلبيات و الايجابيات و لاكن الكثير من السلبيات علينا ان لا نهملها او نتجاهلها و انها مدخل مناسب للأعداء لتتبع الشباب ومتابعة أنشطتهم المختلفة. و ان التكنولوجيا مكان مناسب للتخطيط لنشر الجريمة والتطرف أحياناً	B1
AR-030-92800	يجب على كل فرد ان يساهم في التسامح و حث الآخرين على هذا التصرف الايجابي،على المجتمع ان يعزز من ثقافة التسامح في المجتمع من خلال اطلاع الناس على مدى أهميه هذا الشيء ان دوله الامارات تشهد اكبر تطور حظاري لم تشهد في مثله من قبل و تتم وسائل التواصل الاجتماعي في تاثير على الفرد و المجتمع	B1
AR-030-93360	"تَسامحوا تُسامحوا: لا شك كل إنسان يخطو على هذه الأرض قد مر من قبل يمواقف كثيرة يقشعر لبعضها البدن, و بعضها قد تكون بنظره لا تُغْتَفَر, في حين أن البعض الآخر قد لا يلقي لها بالاً , أو يرى بأنها أتفه من أن تجعله يتجاهل وجود شخص ما, و هنا يأتي الأمر ... فتكون المعضلة في الشخص نفسه, و في كيف سختار ما سيتصرف به , وما إذا كان سيسامح... أم لا. لقد حثنا الدين الإسلامي البليغ على ثقافة التسامح و رفع من شأنه, و لعل أول سبب يجعلنا لا نتهاون فيه هو أن القطيعة لمدة تزيد عن ثلاثة أيام تضعنا تحت خطر جسيم, و هو أن أعمالنا لا تُرفَع و لا تُقبَل حتى تُنهي هذه القطيعة, فالبنسبة لي هذا السبب أكثر من كافي حتى أسامح غيري, فلو حاولنا أن نكون متسامحين يمكننا بذلك أن نكون قدوة لغيرنا, كما أن نشر الوعي بشأن هذا الأمر سيعزز من ثقافة التسامح في المجتمع, خصيصاً لو رأى الناس أن هذا الأمر و هو (المسامحة) أصبح شائعاً في أحيائهم سينساقون خلفهم لا شعورياً, فمن عاشر قوم أصبح مثلهم. ختاماً, علينا أن لا ننسى كم من الأخطاء التي ارتكبناها في حياتنا و التي ريما لازلنا نستمر في ارتكابها , و لكن يظل الله يسامحنا عليها, فَسامِحُوا من في الأرض... يُسامِحكُم من في السماء."	B2
AR-030-96339	ما يتميز به العصر الحديث هو التقدم من التكنلوجيا و صفات التواصل الاجتماعي متعدده في انواع و اشكال عبر التكنلوجيا هو متطور اكثر . يوجد اضرار كبيره في التواصل الاجتماعي و هما الانشغال عن اداء بعض الواجبات سواء الاسريه ام في جوانب اداء العمل الوظيفهي المختلفه . و يوجد ضرر كبير مثل مدخل لنشر ثقافه الانحلال الخلقي و الفساد المجتمع و عدم الثقه و هو عباره عن مجتمع مفتوح امام كل المجتمع و يكون احيانا فيها فرصه قويه لنشر الاشاعات و ترويجها و في مختلف جوانب الحياه.و ليس فقط التواصل الاجتماعي يوجد في اضرار و بينما يوجد في فوائد كثيره و منهما تبادل الخبرات الحياتيه في مجلات الحياه التعدده معلومات هامه من مصادرها التي توفرها من خلال تسجيلات الاعجاب و التابعه لبعضها و تفسح المجال امام الابداع في رسم اجتهادات فكريه و ثقافيع و سياسيه معينه. و ان وسائل التواصل الاجتماعي هي منجزات حضاريه عظيمه و لانسان وحده الذي يمللك طريقه الاستفاده منها.	B1
AR-030-96683	وسائل التواصل الاجتماعي. شهد العالم في القرن السابق تطورات عدة و منها بدأت وسائل التواصل الاجتماعي في قرننا هذا في الانتشار و بدأت تزيد اهميتها بيوم بعد يوم و بدأ تأثيرها واضح على الفرد و المجتمع كثيرا كما انه بدا بكونه شيء بفائق الاهميه في بيومنا و عصره هذا لكن هناك تأثيرات سلبيه و اجابيه للمجتمع و الفرد. كما ذكرت سابقا بأن وسائل التواصل الاجتماعي اجابي هو منها سهوله التواصل بين المجتمع و الفرد مثلا تواصل الفرد من مكان بعيد لشخص او مجموعه ناس يعيشون في بلده او مكان اخر، و للفرد يمكنه من تزويد نفسه بالمعلومات المهمه و اجراء بحوث عن طريق التواصل الاجتماعي. اما الجانب السلبي للمجتمع قد تبدأ خلافات بينهم بسبب وسائل التواصل الاجتماعي و كلام غير صحيح او تكون اشاعه و تنتشر هذه الشاعه في المجتمع اسرع بسبب سهوله التواصل و تداول المعلومات في وسائل التواصل الاجتماعي، و ايضا قد تكون هناك عمليات نصب اكثر في هذه الوسائل بسبب سهوله البقاء مجهولا وراء الشاشة	B1
AR-030-97791	لقد وقعت الكثير من التطورات الحضارية من قبل هؤلاء الناس العبارقة الذين أتو إلينا من جميع نواحي الدول و عززوا دولة الامارات. فقد قدموا إلينا جميع احتياجاتنا و كل ما .اردنا اليه هو مجتمع امن و خال من المشاكل و المتاعب قدمت لنا دولة الامارات العربية المتحدة اولا مكان امن و هو سبب من الاسباب لماذا الناس يأتون من دول أخرى بعيدة الى هنا، فقد بنوا لنا افخر لبمطاعم و اعلى المدارس و الجامعات، أيضا فروا لنا شوارع و طرق منظمه و قوانين تطبق لكل شخص متاح في دولة الامارات العربية المتحدة. أتت هذه الافكار الخلابة و المذهلة من كل دولة ممكن و من الاكيد دولتنا فعلت الكثير من البحوثات و الذهاب الي اماكن اخرى لاستكشاف العالم بأكلمه والتمكن من الاستطلاع لافكار و طريقة بنائها بطريقه فردية و مثالية، فهذا يستغرق الكثير من الوقت و الجهد، فأنا فخورة جدا بكوني اماراتية.	B1
AR-130-119813	التواصل الاجتماعي لها سلبيات و ايجابيات لاكن قد تؤثر بطريقه سلبيه اكثر على الفرد.الكثير من الناس يستخدمون التواصل الاجتماعي بطريقه خاطئه. يقتبس الفرد الكثير من التواصل الاجتماعي و يتآثروقد يؤثر عليه بطريقه خاطئه كما ذكرنا .	A2
AR-130-119831	",الانسان في عديدين من ناس كان ثقافتهم سيئ ماكانو منضمين مع مجتمع وفي بعضهم مع ناس.حياه هي اصلان حيات الانسان كيف يعيش على الارض هدا واحب علين ان ا كو ن يف نتعامل مع هم"	Unassessable
AR-130-121991965	"لوسائل التواصل الأجتماعي تأثير على الفرد و المجتمع, منها تأثير إيجابي و منها سلبي. تأثير التواصل الإجتماعي السلبي على الفرد : هو ان الفرد يستخدمه بطريقة غير لائقة بسبب له المشاكل و الأمراض, و نقصد بالامراض هو ان الفرد اصبح لا يريد التحرك او الخروج خارج المنزل او ممارسه الرياضة اصبح فقط يريد الاكل و استخدام وسائل التواصل الاجتماعي. اما بالنسبة للجانب الاجابي هو ان الفرد يستطيع ان يستخدم هذه الوسائل للدراسة او التواصل مع احد المدرسين للاستفسار عن سؤال او التواصل مع شخص عزيز مقرب او بعيد عنه. كما انها من الممكن ان تقرب علاقة الافراد ببعضهم. اما بالنسبة لتأثيرها على المجتمع و هي تنمي المجتمع و ترقيه."	B1
AR-130-165859	"وسائل التواصل الإجتماعي, بات يستخدمهُ الصغير والكبير. هو عالم آخر يلجأ اليه الفرد ليقضي فيه بعض الوقت. لكنه سلاح ذو حدين قد يفيد من يحسن استخدامه في التواصل مع الأصدقاء والتطلع إلى آخر الأخبار وقد يستخدمه البعض للتجارة وربح الأموال. ولكن هناك سلبيات كثيرة لمن يسيء إستخدامه ويؤدي إلى ضياعه. على سبيل المثال إدمان هذه المواقع تؤدي إلى كوارث على الفرد ذاته والمجنمع أيضا. مثل مشاكل الطلاق والتشتت الأسري وأيضا ضياع الأبناء لعدم راقبة الوالدين . وضياع الأسرة من ضياع المجتمع لأن الأسره السليمة هي ألأساس لبناء مجتمع سليم."	B2
AR-130-165949	ثقافة التسامح تعتبر ثقافة التسامح من اهم الثقافات التي يجب تعززيها في كل المجتمعات سواءاً كانت عربية أو أجنبية، و قد حرصت دولة الإمارات العربية المتحدة على غرس ثقافة التسامح بين أبناء شعبها من خلال إطلاق إسم عام التسامح على عام ٢٠١٩، ومن خلال هذه البادره تم عمل محاضرات وتجمعات وملتقيات لنشر ثقافة التسامح ولتعريف آبناء الشعب عليها أكثر، وقد ساهمت هذه الطرق على نشر ثقافة التسامح اكثر وتعزيزها بين الشعب الإماراتي وساهمت على تشجيع كل مواطن الى نشر هذه الثقافه بين افراد اسرته والبيئه المحيطه به عن طريق تعليمهم ماقد تعلمه عن ثقافة التسامح في الملتقيات والمحاضرات التي حضرها من قبل. ايضاً من الطرق الآخرى التي تساعد الناس على تعزيز ثقافة التسامح فيهم هي الاقتداء برسولنا الكريم محمد صل الله عليه وسلم فهو قدوتنا في التسامح والصفح والعفو، فيجب على المرء أن يحتسب الأجر ويسامح ويعفو عند المقدرة.	B1
AR-130-168718	تعتمد الكثير من المؤسسات و الدوائر الحكوميه في دولة الامارات على نشر آخر أخبارها و عن احتياجاتها لموضفين عبر برامج التواصل الالكتروني المنوعه، ف يُجبر افراد المجتمع على وجودهم في ساحة برامج التواصل الاجتماعي ليطلعو على آخر الاخبار و المستجدات التي تمر بها دولتهم. تأثر وسائل التواصل الاجتماعي على الافراد و المجتمع بطرق إيجابيه وسلبيه في آن واحد. من ايجابيات وسائل التواصل لاجتماعيه على الفرد و المجتمع انها تبقيهم على استطلاع دائم بآخر الاخبار و المستجدات و ايضا تبقي المجتمعات في تواصل دائم و مناقشه بعض القضايا التي يمر فيها مجتمعنا و عرض الاسباب و التوصل الى حلول لهذه المشاكل. وتأثر ايضا هذه الوسائل بطرق سلبيه على مجتمعنا من نواحي عده. اولا،يبقى الفرد منشغلا مع نفسه بجهازه او حاسوبه الخاص بعيدا عن اهله و اصحابه. يشتكي كثيرا من اولياء الامور و الآباء عن انشغال ابنائهم بهذه البرامج سواء انشغال في شيئ جيد ام سئ. تأثر هذه البرامج ايضا على المجتمع من ناحية انهم يبقون على تواصل داخل برامج التواصل فقط ليس خارجها. ارى ان وسئل التواصل الاجتماعي جيده و مفيده اذى استخدمها الفرد و المجتمع بحدود، ولا ينسى ان لاهله ونفسه ولنجتمعه حق عليه بعيدا عن هذه البرامج	B2
AR-130-186196	اصبحت وسائل التواصل الاجتماعي وتأثيرها على الفرد والمجتمع تأثير قوي مما ادى الى بعض للمراهقين الادمان على التواصل الاجتماعي وينتج عن ذلك الاصابه بالمرض النفسي. اصبحوا الناس لايبالون بالوقت الذي يقضونه على الانترنت او البرامج الاجتماعيه و ادى الامر الي انقطاع عن الارحام او بالأحرى الانقطاع عن العالم. التواصل الاجتماعي لديه تأثرين على الشخص تأثير اجابي و تأثير سلبي. التأثير الايجابي للشخص هو ان الشخص قادر على التواصل مع افراد اسرته او اصدقائه في جميع انحاء العالم ،و ايضاً يمكنهم التعلم الاشياء المفيده بالتواصل الاجتماعي او جمع معلومات الجيده والمفيده من التواصل الاجتماعي .التأثير السلبي على الفرد هو ان الجميع الان منقطع عن زيارة الاصدقاء او الاهل والكل منطوي في غرفته بعيد عن افراد الاسره وذلك ينتج الى توحد الشخص و كرهه لحضور مناسبات عائليه او مناسبة اصدقائه. التأثير السلبي الثاني هو التواصل الاجتماعي يؤدي الـي ادمان بعض الاشياء مثل المخدرات او الكحول او غير ذلك وذلك يحدث من بيع المخدرات في مواقع التواصل الاجتماعي. احياناً يتعرض الفرد الى المسائل القانونيه بسبب التواصل الاجتماعي لأن انبطقت قوانين في بعض الدول لعدم الشتم او التنمر وذلك يعرضك لمسائل قانونيه او السجن و الغرامه.	B1
AR-130-187968	في الآونه الاخيره ظهرت وسائل التواصل الاجتماعي بشكل مفرط ،واثرت على الكثير من الناس والعوائل وربما اثرت على بعض الناس بطريقة اجابيه وبعضهم سلبيه.واثرت على المراهقين بطريقه سلبيه جدا لانهم طوال الوقت وهم على الاجهزه الالكترونيه ، وباء الناس الان فقط يتواصلون بالاجهزه وصاروا يتجنبون الجمعات العائليه وهذا فعل خاطئ وحتى في جمعاتهم وهم يتواصلون بالاجهزه،والان بات التواصل قليل جدا وكل شى صار بالتواصل الاجتماعي.في الماضي في كل مناسبه كانت العوائل تتجمع وتدردش مع بعضها بعض والاطفال يلعبون في الخارج اما الان فالاطفال جالسون ولايعرفون شيئا غير الالكترونيات وهذا الفعل ينتج على امراض مزمنه مثل السمنه وامراض القلب فقط لانهم لايريدون فعل شي غير الجلوس، وايضا مواقع تواصل الاجتماعي لها تأثير سلبي على تحصيل الدراسي للمدرسه فقط لانهم لا يريدون فتح مخهم يريدون الاشياء الجاهزه ،وايضاً له تأثير اجابي على المجتمع وهو صار التواصل اسهل للذين يعملون صار اسهل للمدراء لتواصل مع الموظفين وعلى الجميع صاروا يذكرون بعضهم من خلال التواصل وهو شي جيد وايضا في المستشفيات والمواعيد وفي كل شي التواصل بات اسهل على الجميع. يجب علي الناس المعرفه في كيفيه استخدام الوسائل ويجب عليهم تعليم الصغار والكبار على كيفيه التواصل بطريقه صحيحه وليس طوال الوقت ويجب عليهم تفريق في كيفيه استخدامه الااذا كان ظرورياً وعلى اولياء الامور تعليم ابنائهم على الطريقه الصحيحه وايضا على اضرار البرامج والجلوس عليه طويلا وفي النهايه الوسائل لها سلبيات وإجابيات وعلى الجميع التفريق بينهم .	B1
AR-130-188359	التواصل الجتماعي هي الان من احدى اكثر المواضيع لأكثر جدلا في وقتنا الحالي . التواصل اأجتماعي لهو الكثير من التأثير على المجتمع و الفرد . تأثيرها على الفرد يسبب ال حده و الكآبه للفرد و في بعض الاحيان العنف . تأثيرها على المجتمع يجعل هناك ثغره بين العائله و الفرد و بين الاشخاص .	B1
AR-130-188826	لقد شكلت مواقع التواصل الاجتماعي دوراً كبيراً في تطوير مجتمعنا الحالي التي اثرت على الفرد بشكل ملحوظ من خلال التجارة و الدراسة و الطب، واستفتحت العديد من المجالات التواصل عبر الحاسوب و الشاشة النقالة وجعل ذالك السهوله في التواصل مع خارج الدولة و داخلها عن طريق ارسال الرسائل النصية او تسجيل الصوت او الصورة . مواقع التواصل الاجتمعاي لها العديد من السلبيات مثل انتهاك خصوصية الغير وهو التهديد في المعلومات المستخدم الشخصية و فقدان التعامل مع الناس فقط خلف الشاشة و كذالك التشت الذهني قد يؤثر على الفرد في قيادة السيارة وهذا الامر قدد يسبب الحوادث و غيره العديد من المشاكل، وكذالك لها العديد من المميزات مثل زيادة التعارف انشاء حسابات لترويج المنتجات و السلع التي يتم تداولها بشكل من المشاهير التواصل الاجتماعي عبر السناب شات و الانستاجرام و يمكنك انشاء قناتك الخاصة في اليوتيب لنشر الوعي و الثقافة الفكرية التي قد تساهم بدور فعال لتنمية مجتمع له فكر واسع لخلق العديد من الانجازات المستحيلة ولتطوير الدول بشكل مستمر و كل هذا بواسطة مقطع فيديو يتداول عبر المواقع التواصل الاجتماعي من خلاله الاستفاده و نشر للغير .	B2
AR-130-188847	في وقتنا الحالي انتشرت بشكل سريع وسائل التواصل الاجتماعي وأصبح أفراد المجتمع مدمنون عليها بشكل لا يوصف فساهمت على التشتت الأسري بشكل ملحوظ وأثرت على المتجمع وتفككه ايضا ، فأصبح الصغير والكبير لا يستطيعون ترك وسائل التواصل الاجتماعي رغم درايتهم بكثره مشاكلها الا انهم منغمسون فيها ، ومن أضرار التواصل الاجتماعي كثره الانتحار وتشتت الأسر ومحاوله تقليد الآخرين في كل شي سيء ومقارنه الأشخاص بحياتهم عن حياة الغير حتى انتشر الحسد والبغض بينهم	B1
AR-130-188945	لقد سببت الكثير من الخلفات و الفتن في مجتمعنا مخرا، فتوصل الخلفات لي المحاكم و هذا يضر المجتمع و الصغار في سن حيث هم يصدقون كل ما يرونه في وسائل التواصل الاجتماعي بعض الأفراد أثرت عليهم حتى الانتحار و هذا ما يقلق الأهالي على أولادهم من التواصل الاجتماعي و التواصل الجتمعي فرق الكثير من العائلات لأنهم لا يجلسون مع بعضهم البض وسائل التواصل أثرت على أغلبيت الشعب و الفتن بين الشعوب و تعليم الأطفال العادات السيء مثل لعبة البجي التي اثرت على بنات و انتحرو بسبب خسرتهم اللعبة فهذا يأثر الكثير على الأطفال مأخرا .من راي ان يجب حظظر هذي الالعاب و .	A2
AR-130-189349	وسائل التواصل الاجتماعي تاثر كثيرا على الفرد و المجتمع تاثيرات سلبيه منها قد تلهي الفرد عن اشغاله و المراهقون قد تلهيهم عن دراستهم و عدم قدرتهم على النوم بشكل كافي وعدم القدرة على التركيز في الدراسه و ايضا البالغين لا يمكنهم ان يكملو يومهم بسبب الاجهاد و السهر من مواقع التواصل الاجتماعي و لذلك الانترنت في كل عام ينزلون تطبيقا جديدا لتواصلل الاجتماعي بين الافراد و يستخدمونه بلا شك و ذلك ايضا ياثر على حياتهم العائليه ايضا فقد لا يجدون وقت كافي للجلوس مع عائلتهم و اصدقائهم وايضا صحتهم قد تتدهور بسبب انشغالهم طيله ساعات طويله في قضاء وقتهم وايضا من اشهر الامراض التي قد يصاب بها الفرد اذا قضاء اكثر من اربع ساعات في استخدام مواقع التواصل الام الرقبه و الظهر و الارق وعدم القدره على الاتزان في حياته بسبب شاشات الاكترونيات و الجلوس مدة طويله في نفس الوضعيه دون حركه وقد تسبب وساىل التواصل الاجتماعي الانعزال الشعوري عن المجتمع وايضا هناك فوائد لاستخدام مواقع التواصل الاجتماعي هي تبادل الخبرات الحياتيه و اكتساب معلومات هامه و جديده واكتساب مهارات جديده للابداع وفي الختام وساىل التواصل الاجتماعي هي منجزات عظيمه و الانسان هو الذي يملك القدره على الاستفادة منها او سبل توقي من خطرها علية وهنا علينا تقديم النصح و التوعيه للمراهيقن و الاطفال كي لا يقعون فخ في مواقع التواصل الاجتماعي	B2
AR-130-189525	هناك العديد من الايجابيات والسلبيات التي تسببها وسائل التواصل الاجتماعي . كثير من الناس يستفيدون من التواصل الاجتماعي بشكل كبير بالبحث و العلم و ايضا التجارة وهناك اخرون يتحدثون عن السياسة و احاديث لا تخصهم فقط يبحثون عن الجدال والشهرة و هذا امر محزن في زمننا هذا ، ان وسائل التواصل الاجتماعي سلاح ذو حدين اما ان تستفيد منه و اما ان تشوه سمعتك و اخلاقك . بعض من الناس يعتقد بأن وسائل التواصل الاجتماعي فقط لها سلبيات بسبب اخلاق بعض من الناس او افعالهم المؤذية ولكن التواصل مع الاخرين امر مهم لتكوين علاقات تدوم .	B1
