	Document	Raw	Corrected	Operation	errors	readability
80	AR-030-268469	ايضا	أيضا	EDIT	1	4
81	AR-030-268469	مقارنتا	مقارنة	EDIT	0	2
82	AR-030-268469	فس		DELETE	0	0
83	AR-030-268469	ماجلس	بمجالس	EDIT	0	0
84	AR-030-268469	الشباب	الشباب	NO_CHANGE	0	2
85	AR-030-268469	سابقا	سابقا	NO_CHANGE	0	3
86	AR-030-268469	قبل	قبل	NO_CHANGE	0	4
87	AR-030-268469	ضهور	ظهور	EDIT	0	5
88	AR-030-268469	مواقع	مواقع	NO_CHANGE	0	2
89	AR-030-268469	التواصل,	التواصل،	EDIT	0	0
90	AR-030-268469	لرئيت	لرأيت	EDIT	0	0
91	AR-030-268469	شباب	شبابا	EDIT	0	0
92	AR-030-268469	يضحكون	يضحكون	NO_CHANGE	0	1
93	AR-030-268469	مع	مع	NO_CHANGE	0	0
94	AR-030-268469	بعضهم	بعضهم	NO_CHANGE	0	1
95	AR-030-268469	او	أو	EDIT	1	0
96	AR-030-268469	لربما	لربما	NO_CHANGE	0	2
97	AR-030-268469	يلعبون	يلعبون	NO_CHANGE	0	1
98	AR-030-268469	لعبتا	لعبة	EDIT	0	1
99	AR-030-268469	ما,	ما،	EDIT	0	0
100	AR-030-268469	اما	أما	EDIT	1	3
101	AR-030-268469	الان	الآن	EDIT	1	4
102	AR-030-268469	فترى	فترى	NO_CHANGE	0	0
103	AR-030-268469	شباب	شبابا	EDIT	0	0
104	AR-030-268469	جالسين	جالسين	NO_CHANGE	0	0
105	AR-030-268469	جمبهم	جنبهم	EDIT	0	0
106	AR-030-268469	الجمب	الجنب	EDIT	0	0
107	AR-030-268469	ولا	ولا	NO_CHANGE	0	1
108	AR-030-268469	يتكلمون	يتكلمون	NO_CHANGE	0	1
109	AR-030-268469	مع	مع	NO_CHANGE	0	0
110	AR-030-268469	بعضهم	بعضهم	NO_CHANGE	0	1
111	AR-030-268469	البعض	البعض	NO_CHANGE	0	0
112	AR-030-268469	و		DELETE	2	1
113	AR-030-268469	تراهم	وتراهم	EDIT	0	0
114	AR-030-268469	جميعا	جميعا	NO_CHANGE	0	0
115	AR-030-268469	على	على	NO_CHANGE	0	1
116	AR-030-268469	مواقع	مواقع	NO_CHANGE	0	2
117	AR-030-268469	التواصل	التواصل	NO_CHANGE	0	3
118	AR-030-268469	الاجتماعي.	الاجتماعي.	NO_CHANGE	0	0
119	AR-030-268469	التواصل	التواصل	NO_CHANGE	0	3
120	AR-030-268469	الاجتماعي	الاجتماعي	NO_CHANGE	0	3
121	AR-030-268469	اثر	أثر	EDIT	1	5
122	AR-030-268469	كثيرا	كثيرا	NO_CHANGE	0	0
123	AR-030-268469	على	على	NO_CHANGE	0	1
124	AR-030-268469	عاداتنا	عاداتنا	NO_CHANGE	0	3
125	AR-030-268469	كبشر	كبشر	NO_CHANGE	0	1
126	AR-030-268469	و		DELETE	2	1
127	AR-030-268469	كمجتمع.	وكمجتمع.	EDIT	0	0
128	AR-030-268469	و		DELETE	2	1
129	AR-030-268469	ترا	وترى	EDIT	1	5
130	AR-030-268469	ايضا	أيضا	EDIT	1	4
131	AR-030-268469	مرات	امرأة	EDIT	0	1
132	AR-030-268469	اما	إما	EDIT	1	3
133	AR-030-268469	مشغولة	مشغولة	NO_CHANGE	0	1
134	AR-030-268469	عن	عن	NO_CHANGE	0	1
135	AR-030-268469	ابنائها	أبنائها	EDIT	1	0
136	AR-030-268469	بالتواصل	بالتواصل	NO_CHANGE	0	3
137	AR-030-268469	الاجتماعي	الاجتماعي	NO_CHANGE	0	3
138	AR-030-268469	او	أو	EDIT	1	0
139	AR-030-268469	موضف	موظفا	EDIT	0	0
140	AR-030-268469	مشغول	مشغولا	EDIT	0	1
141	AR-030-268469	بهاتفه	بهاتفه	NO_CHANGE	0	1
142	AR-030-268469	اثناء	أثناء	EDIT	1	4
143	AR-030-268469	اوقات	أوقات	EDIT	1	1
144	AR-030-268469	الدوام.	الدوام.	NO_CHANGE	0	0
145	AR-030-268469	مواقع	مواقع	NO_CHANGE	0	2
146	AR-030-268469	التواصل	التواصل	NO_CHANGE	0	3
147	AR-030-268469	الاجتماعي	الاجتماعي	NO_CHANGE	0	3
148	AR-030-268469	كسيف	كسيف	NO_CHANGE	0	1
149	AR-030-268469	ذو	ذي	EDIT	0	3
150	AR-030-268469	حدين	حدين	NO_CHANGE	0	5
151	AR-030-268469	و		DELETE	2	1
152	AR-030-268469	لكن	ولكن	EDIT	0	0
153	AR-030-268469	اصبحت	أصبحت	EDIT	1	2
154	AR-030-268469	مضاره	مضارها	EDIT	0	4
155	AR-030-268469	اكثر	أكثر	EDIT	1	0
156	AR-030-268469	من	من	NO_CHANGE	0	1
157	AR-030-268469	منافعه.	منافعها.	EDIT	0	0
158	AR-030-268469	اصبح	أصبحت	EDIT	1	2
159	AR-030-268469	يميل	تميل	EDIT	0	1
160	AR-030-268469	الى	إلى	EDIT	1	1
161	AR-030-268469	نوع	نوع	NO_CHANGE	0	1
162	AR-030-268469	من	من	NO_CHANGE	0	1
163	AR-030-268469	انواع	أنواع	EDIT	1	1
164	AR-030-268469	الادمان	الإدمان	EDIT	1	3
165	AR-030-268469	الذي	الذي	NO_CHANGE	0	3
166	AR-030-268469	يجب	يجب	NO_CHANGE	0	3
167	AR-030-268469	الحذر	الحذر	NO_CHANGE	0	4
168	AR-030-268469	منه.	منه.	NO_CHANGE	0	0
169	AR-030-386369	تعد	تعد	NO_CHANGE	0	1
170	AR-030-386369	وسائل	وسائل	NO_CHANGE	0	2
171	AR-030-386369	التواصل	التواصل	NO_CHANGE	0	3
172	AR-030-386369	الاجتماعي	الاجتماعي	NO_CHANGE	0	3
173	AR-030-386369	من	من	NO_CHANGE	0	1
174	AR-030-386369	اكبر	أكبر	EDIT	1	4
175	AR-030-386369	المؤثرات	المؤثرات	NO_CHANGE	0	3
176	AR-030-386369	على	على	NO_CHANGE	0	1
177	AR-030-386369	الفرد	الفرد	NO_CHANGE	0	3
178	AR-030-386369	في	في	NO_CHANGE	0	1
179	AR-030-386369	مجتمعنا	مجتمعنا	NO_CHANGE	0	2
180	AR-030-386369	الحالي،	الحالي،	NO_CHANGE	0	0
181	AR-030-386369	وذلك	وذلك	NO_CHANGE	0	2
182	AR-030-386369	بسبب	بسبب	NO_CHANGE	0	1
183	AR-030-386369	ادمان	إدمان	EDIT	1	3
184	AR-030-386369	الفرد	الفرد	NO_CHANGE	0	3
185	AR-030-386369	على	على	NO_CHANGE	0	1
186	AR-030-386369	استخدامها	استخدامها	NO_CHANGE	0	1
187	AR-030-386369	بشكل	بشكل	NO_CHANGE	0	1
188	AR-030-386369	متواصل	متواصل	NO_CHANGE	0	3
189	AR-030-386369	ويومي.	ويومي.	NO_CHANGE	0	0
190	AR-030-386369	تتنوع	تتنوع	NO_CHANGE	0	3
191	AR-030-386369	المؤثرات	المؤثرات	NO_CHANGE	0	3
192	AR-030-386369		-	INSERT	0	0
193	AR-030-386369	منها	منها	NO_CHANGE	0	1
194	AR-030-386369	الايجابية	الإيجابية	EDIT	1	4
195	AR-030-386369	والسلبية	والسلبية	NO_CHANGE	0	3
196	AR-030-386369		-	INSERT	0	0
197	AR-030-386369	على	على	NO_CHANGE	0	1
198	AR-030-386369	الافراد	الأفراد	EDIT	1	3
199	AR-030-386369	في	في	NO_CHANGE	0	1
200	AR-030-386369	دولتنا،	دولتنا.	EDIT	0	0
201	AR-030-386369	الايجابية	الإيجابية	EDIT	1	4
202	AR-030-386369	منها	منها	NO_CHANGE	0	1
203	AR-030-386369	سرعة	سرعة	NO_CHANGE	0	1
204	AR-030-386369	التواصل	التواصل	NO_CHANGE	0	3
205	AR-030-386369	و		DELETE	2	1
206	AR-030-386369	سهولته	وسهولته	EDIT	0	1
207	AR-030-386369	وتنوعها	وتنوعه	EDIT	0	3
208	AR-030-386369	كالرسائل	كالرسائل	NO_CHANGE	0	1
209	AR-030-386369	الفورية	الفورية	NO_CHANGE	0	3
210	AR-030-386369	والصوتية	والصوتية	NO_CHANGE	0	3
211	AR-030-386369	والتواصلل	والتواصل	EDIT	0	0
212	AR-030-386369	المرئي	المرئي	NO_CHANGE	0	3
213	AR-030-386369	و		DELETE	2	1
214	AR-030-386369	الصوتي.	والصوتي.	EDIT	0	0
215	AR-030-386369	ايضا	أيضا	EDIT	1	4
216	AR-030-386369	يمكن	يمكن	NO_CHANGE	0	3
217	AR-030-386369	للفائدة	للفائدة	NO_CHANGE	0	2
218	AR-030-386369	ان	أن	EDIT	1	2
219	AR-030-386369	تشمل	تشمل	NO_CHANGE	0	3
220	AR-030-386369	الناس	الناس	NO_CHANGE	0	1
221	AR-030-386369	عامة	عامة	NO_CHANGE	0	3
222	AR-030-386369	في	في	NO_CHANGE	0	1
223	AR-030-386369	وظائفهم	وظائفهم	NO_CHANGE	0	2
224	AR-030-386369	من	من	NO_CHANGE	0	1
225	AR-030-386369	خلال	خلال	NO_CHANGE	0	0
226	AR-030-386369	تمكنهم	تمكنهم	NO_CHANGE	0	4
227	AR-030-386369	من	من	NO_CHANGE	0	1
228	AR-030-386369	استخدما	استخدام	EDIT	0	1
229	AR-030-386369	البريد	البريد	NO_CHANGE	0	1
230	AR-030-386369	الالكتروني	الإلكتروني	EDIT	1	2
231	AR-030-386369	والاجتماعات	والاجتماعات	NO_CHANGE	0	1
232	AR-030-386369		من	INSERT	0	0
233	AR-030-386369	خلال	خلال	NO_CHANGE	0	0
234	AR-030-386369	هذه	هذه	NO_CHANGE	0	1
235	AR-030-386369	الوسائل.	الوسائل.	NO_CHANGE	0	0
236	AR-030-386369	ومن	ومن	NO_CHANGE	0	1
237	AR-030-386369	السلبيات	السلبيات	NO_CHANGE	0	0
238	AR-030-386369	التي	التي	NO_CHANGE	0	3
239	AR-030-386369	تنتج	تنتج	NO_CHANGE	0	2
240	AR-030-386369	من	من	NO_CHANGE	0	1
241	AR-030-386369	وسائل	وسائل	NO_CHANGE	0	2
242	AR-030-386369	التواصل	التواصل	NO_CHANGE	0	3
243	AR-030-386369	الاجتماعي	الاجتماعي	NO_CHANGE	0	3
244	AR-030-386369	الابتزاز	الابتزاز	NO_CHANGE	0	4
245	AR-030-386369	الالكتروني	الإلكتروني	EDIT	1	2
246	AR-030-386369	وهي	وهي	NO_CHANGE	0	1
247	AR-030-386369	ظاهرة	ظاهرة	NO_CHANGE	0	4
248	AR-030-386369	منتشرة	منتشرة	NO_CHANGE	0	3
249	AR-030-386369	في	في	NO_CHANGE	0	1
250	AR-030-386369	الآوانه	الآونة	EDIT	1	0
251	AR-030-386369	الاخيرة	الأخيرة،	EDIT	1	2
252	AR-030-386369	وغير	وغير	NO_CHANGE	0	2
253	AR-030-386369	ذلك	ذلك	NO_CHANGE	0	2
254	AR-030-386369	اضاعة	إضاعة	EDIT	1	3
255	AR-030-386369	الوقت	الوقت	NO_CHANGE	0	1
256	AR-030-386369	الذي	الذي	NO_CHANGE	0	3
257	AR-030-386369	يمكن	يمكن	NO_CHANGE	0	3
258	AR-030-386369	استثمارة	استثماره	EDIT	1	3
259	AR-030-386369	بفائدة	بفائدة	NO_CHANGE	0	2
260	AR-030-386369	اخرى	أخرى.	EDIT	1	3
261	AR-030-386369	ومن	ومن	NO_CHANGE	0	1
262	AR-030-386369	امثلة	أمثلة	EDIT	1	1
263	AR-030-386369	اضاعة	إضاعة	EDIT	1	3
264	AR-030-386369	الوقت	الوقت	NO_CHANGE	0	1
265	AR-030-386369	قضاء	قضاء	NO_CHANGE	0	4
266	AR-030-386369	وقت	وقت	NO_CHANGE	0	1
267	AR-030-386369	العمل	العمل	NO_CHANGE	0	1
268	AR-030-386369	على	على	NO_CHANGE	0	1
269	AR-030-386369	وسائل	وسائل	NO_CHANGE	0	2
270	AR-030-386369	التواصل	التواصل	NO_CHANGE	0	3
271	AR-030-386369	الاجتماعي	الاجتماعي	NO_CHANGE	0	3
272	AR-030-386369	لإضاعته.	لإضاعته.	NO_CHANGE	1	0
273	AR-030-386369	ومن	ومن	NO_CHANGE	0	1
274	AR-030-386369	مؤثرات	مؤثرات	NO_CHANGE	0	3
275	AR-030-386369	الوسائل	الوسائل	NO_CHANGE	0	2
276	AR-030-386369	على	على	NO_CHANGE	0	1
277	AR-030-386369	المجتمع	المجتمع	NO_CHANGE	0	2
278	AR-030-386369	ان	أن	EDIT	1	2
279	AR-030-386369	تنتشر	تنتشر	NO_CHANGE	0	2
280	AR-030-386369	الاشاعات	الإشاعات	EDIT	1	3
281	AR-030-386369	التي	التي	NO_CHANGE	0	3
282	AR-030-386369	تولد	تولد	NO_CHANGE	0	1
283	AR-030-386369	وتزيد	وتزيد	NO_CHANGE	0	1
284	AR-030-386369	من	من	NO_CHANGE	0	1
285	AR-030-386369	المشاكل	المشاكل	NO_CHANGE	0	1
286	AR-030-386369	ومنها	ومنها	NO_CHANGE	0	1
287	AR-030-386369	المشاكل	المشاكل	NO_CHANGE	0	1
288	AR-030-386369	الاسرية	الأسرية	EDIT	1	5
289	AR-030-386369	والاجتماعية	والاجتماعية	NO_CHANGE	0	3
290	AR-030-386369	والسياسية	والسياسية	NO_CHANGE	0	4
291	AR-030-386369	وغيرها.	وغيرها.	NO_CHANGE	0	0
292	AR-030-386369	وعلى	وعلى	NO_CHANGE	0	1
293	AR-030-386369	سبيل	سبيل	NO_CHANGE	0	3
294	AR-030-386369	التأثير	التأثير	NO_CHANGE	0	2
295	AR-030-386369	الايجابي	الإيجابي	EDIT	1	4
296	AR-030-386369	من	من	NO_CHANGE	0	1
297	AR-030-386369	الممكن	الممكن	NO_CHANGE	0	1
298	AR-030-386369	ان	أن	EDIT	1	2
299	AR-030-386369	تنتشر	تنتشر	NO_CHANGE	0	2
300	AR-030-386369	التوعية	التوعية	NO_CHANGE	0	3
301	AR-030-386369	في	في	NO_CHANGE	0	1
302	AR-030-386369	بعض	بعض	NO_CHANGE	0	1
303	AR-030-386369	المجالات	المجالات	NO_CHANGE	0	4
304	AR-030-386369	على	على	NO_CHANGE	0	1
305	AR-030-386369	المجتمع	المجتمع	NO_CHANGE	0	2
306	AR-030-386369		من	INSERT	0	0
307	AR-030-386369	خلال	خلال	NO_CHANGE	0	0
308	AR-030-386369	وسائل	وسائل	NO_CHANGE	0	2
309	AR-030-386369	التواصل،	التواصل.	EDIT	0	0
310	AR-030-386369	ايضا	أيضا	EDIT	1	4
311	AR-030-386369	من	من	NO_CHANGE	0	1
312	AR-030-386369	الممكن	الممكن	NO_CHANGE	0	1
313	AR-030-386369	ان	أن	EDIT	1	2
314	AR-030-386369	تنتشر	تنتشر	NO_CHANGE	0	2
315	AR-030-386369	بعض	بعض	NO_CHANGE	0	1
316	AR-030-386369	الثقافات	الثقافات	NO_CHANGE	0	3
317	AR-030-386369	الايجابية	الإيجابية	EDIT	1	4
318	AR-030-386369	على	على	NO_CHANGE	0	1
319	AR-030-386369	المجتمع	المجتمع	NO_CHANGE	0	2
320	AR-030-386369	من	من	NO_CHANGE	0	1
321	AR-030-386369	خلال	خلال	NO_CHANGE	0	0
322	AR-030-386369	وسائل	وسائل	NO_CHANGE	0	2
323	AR-030-386369	التواصل	التواصل	NO_CHANGE	0	3
324	AR-030-386369	كالقراءة.	كالقراءة.	NO_CHANGE	1	0
325	AR-030-81027	قام	قام	NO_CHANGE	0	2
326	AR-030-81027	انتشارالوساءل	انتشار	EDIT	0	0
327	AR-030-81027		وسائل	INSERT	0	0
328	AR-030-81027	للتواصل	التواصل	EDIT	0	3
329	AR-030-81027	الاجتماعية	الاجتماعي	EDIT	0	3
330	AR-030-81027	بشكل	بشكل	NO_CHANGE	0	1
331	AR-030-81027	كبير	كبير	NO_CHANGE	0	1
332	AR-030-81027	و		DELETE	2	1
333	AR-030-81027	هذا	وهذا	EDIT	0	1
334	AR-030-81027	اثر	أثر	EDIT	1	5
335	AR-030-81027	على	على	NO_CHANGE	0	1
336	AR-030-81027	المجتمع	المجتمع	NO_CHANGE	0	2
337	AR-030-81027	بشكل	بشكل	NO_CHANGE	0	1
338	AR-030-81027	ايجابي	إيجابي	EDIT	1	4
339	AR-030-81027	و		DELETE	2	1
340	AR-030-81027	سلبي	وسلبي.	EDIT	0	3
341	AR-030-81027	من	من	NO_CHANGE	0	1
342	AR-030-81027	الاثار	الآثار	EDIT	1	2
343	AR-030-81027	الايجابي	الإيجابية	EDIT	1	4
344	AR-030-81027	للتواصل	للتواصل	NO_CHANGE	0	3
345	AR-030-81027	الاجتماعي	الاجتماعي	NO_CHANGE	0	3
346	AR-030-81027	هي		DELETE	0	1
347	AR-030-81027	التواصل	التواصل	NO_CHANGE	0	3
348	AR-030-81027	مع	مع	NO_CHANGE	0	0
349	AR-030-81027	الناس	الناس	NO_CHANGE	0	1
350	AR-030-81027	بشكل	بشكل	NO_CHANGE	0	1
351	AR-030-81027	اسهل	أسهل،	EDIT	1	0
352	AR-030-81027	.		DELETE	0	0
353	AR-030-81027	و		DELETE	2	1
354	AR-030-81027	من	ومن	EDIT	0	1
355	AR-030-81027	ال		DELETE	0	1
356	AR-030-81027	الاثار	الآثار	EDIT	1	2
357	AR-030-81027	ال		DELETE	0	1
358	AR-030-81027	سلبية	السلبية	EDIT	0	3
359	AR-030-81027	هيه		DELETE	0	0
360	AR-030-81027	انتشار	انتشار	NO_CHANGE	0	2
361	AR-030-81027	الكراهية	الكراهية	NO_CHANGE	0	2
362	AR-030-81027	و		DELETE	2	1
363	AR-030-81027	الفساد	والفساد	EDIT	0	3
364	AR-030-81027	بين	بين	NO_CHANGE	0	0
365	AR-030-81027	الناس.	الناس.	NO_CHANGE	0	0
366	AR-030-81757	وسائل	وسائل	NO_CHANGE	0	2
367	AR-030-81757	التواصل	التواصل	NO_CHANGE	0	3
368	AR-030-81757	الاجتماعي	الاجتماعي	NO_CHANGE	0	3
369	AR-030-81757	لقد	لقد	NO_CHANGE	0	3
370	AR-030-81757	تطورت	تطورت	NO_CHANGE	0	3
371	AR-030-81757	وسائل	وسائل	NO_CHANGE	0	2
372	AR-030-81757	المعرفه	المعرفة	EDIT	1	3
373	AR-030-81757	و		DELETE	2	1
374	AR-030-81757	التقدم	والتقدم	EDIT	0	3
375	AR-030-81757	و		DELETE	2	1
376	AR-030-81757	اجتاحت	واجتاحت	EDIT	0	4
377	AR-030-81757	وسائل	وسائل	NO_CHANGE	0	2
378	AR-030-81757	التواصل	التواصل	NO_CHANGE	0	3
379	AR-030-81757	الاجتماعي	الاجتماعي	NO_CHANGE	0	3
380	AR-030-81757	منازلنا	منازلنا	NO_CHANGE	0	1
381	AR-030-81757	،		DELETE	0	0
382	AR-030-81757	و		DELETE	2	1
383	AR-030-81757	حياتنا	وحياتنا	EDIT	0	1
384	AR-030-81757	و		DELETE	2	1
385	AR-030-81757	ايضا	وأيضا	EDIT	1	4
386	AR-030-81757	مائدة	مائدة	NO_CHANGE	0	1
387	AR-030-81757	طعامنا	طعامنا	NO_CHANGE	0	1
388	AR-030-81757	دون	دون	NO_CHANGE	0	4
389	AR-030-81757	استئذان	استئذان.	EDIT	0	1
390	AR-030-81757	،		DELETE	0	0
391	AR-030-81757	فللاسف	فللأسف	EDIT	1	1
392	AR-030-81757	اصبحت	أصبحت	EDIT	1	2
393	AR-030-81757	فرد	فردا	EDIT	0	1
394	AR-030-81757	من	من	NO_CHANGE	0	1
395	AR-030-81757	العائة	العائلة،	EDIT	1	0
396	AR-030-81757	،		DELETE	0	0
397	AR-030-81757	فرد	فردا	EDIT	0	1
398	AR-030-81757	غير	غير	NO_CHANGE	0	2
399	AR-030-81757	مرحب	مرحب	NO_CHANGE	0	2
400	AR-030-81757	به	به،	EDIT	0	1
401	AR-030-81757	ولكنه	ولكنه	NO_CHANGE	0	0
402	AR-030-81757	متواجد	متواجد	NO_CHANGE	0	3
403	AR-030-81757	رغما	رغما	NO_CHANGE	0	3
404	AR-030-81757	عنا	عنا،	EDIT	0	1
405	AR-030-81757	فقد	فقد	NO_CHANGE	0	3
406	AR-030-81757	اصبح	أصبح	EDIT	1	2
407	AR-030-81757	مسيطر	مسيطرا	EDIT	0	2
408	AR-030-81757	على	على	NO_CHANGE	0	1
409	AR-030-81757	خلايا	خلايا	NO_CHANGE	0	3
410	AR-030-81757	ادمغتنا	أدمغتنا	EDIT	1	1
411	AR-030-81757	و		DELETE	2	1
412	AR-030-81757	،		DELETE	0	0
413	AR-030-81757	حواسنا	وحواسنا.	EDIT	0	2
414	AR-030-81757	،		DELETE	0	0
415	AR-030-81757	لا	لا	NO_CHANGE	0	1
416	AR-030-81757	انكرر	أنكر	EDIT	0	0
417	AR-030-81757	بان	أن	EDIT	1	2
418	AR-030-81757	هذا	هذا	NO_CHANGE	0	1
419	AR-030-81757	الفرد	الفرد	NO_CHANGE	0	3
420	AR-030-81757	قرب	قرب	NO_CHANGE	0	2
421	AR-030-81757	لنا	لنا	NO_CHANGE	0	1
422	AR-030-81757	البعيد	البعيد،	EDIT	0	1
423	AR-030-81757	و		DELETE	2	1
424	AR-030-81757	لكن	ولكن	EDIT	0	0
425	AR-030-81757	مع	مع	NO_CHANGE	0	0
426	AR-030-81757	ذلك	ذلك	NO_CHANGE	0	2
427	AR-030-81757	ابعد	أبعد	EDIT	1	1
428	AR-030-81757	القرب	القريب،	EDIT	0	2
429	AR-030-81757	،و		DELETE	0	0
430	AR-030-81757	اصبحت	وأصبحت	EDIT	1	2
431	AR-030-81757	الاخبار	الأخبار	EDIT	1	1
432	AR-030-81757	بوجوده	بوجوده	NO_CHANGE	0	2
433	AR-030-81757	تصلنا	تصلنا	NO_CHANGE	0	1
434	AR-030-81757		بعد	INSERT	0	0
435	AR-030-81757	بالثواني	ثوان	EDIT	0	1
436	AR-030-81757	من	من	NO_CHANGE	0	1
437	AR-030-81757	حدوثها	حدوثها	NO_CHANGE	0	3
438	AR-030-81757	حتى	حتى	NO_CHANGE	0	1
439	AR-030-81757	ان	إن	EDIT	1	2
440	AR-030-81757	كانت	كانت	NO_CHANGE	0	1
441	AR-030-81757	من	من	NO_CHANGE	0	1
442	AR-030-81757	مشرق	مشرق	NO_CHANGE	0	0
443	AR-030-81757	الارض	الأرض	EDIT	1	1
444	AR-030-81757	او	أو	EDIT	1	0
445	AR-030-81757	مغربها	مغربها،	EDIT	0	0
446	AR-030-81757	،		DELETE	0	0
447	AR-030-81757	فهو	فهو	NO_CHANGE	0	1
448	AR-030-81757	يجمع	يجمع	NO_CHANGE	0	1
449	AR-030-81757	العالم	العالم	NO_CHANGE	0	1
450	AR-030-81757	كله	كله	NO_CHANGE	0	0
451	AR-030-81757	في	في	NO_CHANGE	0	1
452	AR-030-81757	شاشّه	شاشة	EDIT	2	1
453	AR-030-81757	لامعه	لامعة	EDIT	0	0
454	AR-030-81757	صغيره	صغيرة.	EDIT	0	1
455	AR-030-81757	،		DELETE	0	0
456	AR-030-81757	ولكن	ولكن	NO_CHANGE	0	0
